Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	28.251793	3.6349146	35.211983	17.39134	40.0	-0.11309716	0.0074133435	-0.08941546	-0.1346615	4000	1.1641532e-08	215.63461	-0.032554857	-165.69571	0.91893846	0.015171958	0.19425	61.0	72.44000625610352
1	27.55086	3.5001602	34.91841	18.318064	40.0	12.81212	0.2621882	12.992743	11.19279	8000	-3.4924597e-09	52.425735	-0.011964412	-8.085329	0.91503465	0.007835882	0.09425	79.0	149.40632915496826
2	27.078184	3.5759535	34.625713	17.492657	40.0	12.654625	1.4771143	15.259853	9.773677	12000	-1.3969839e-08	43.592007	-0.03447876	-34.87623	0.9178671	0.011256253	0.19375	79.0	221.91726732254028
3	28.353308	3.6037867	34.4488	16.789526	40.0	15.386239	5.0070043	25.90893	2.6100526	16000	-1.3969839e-08	58.615685	-0.03772386	-55.917824	0.899976	0.015375603	0.20225	20.0	267.4710531234741
4	27.323767	3.4383724	35.842575	18.73796	40.0	13.1100645	6.995723	26.652174	0.81654537	20000	1.816079e-08	14.715768	-0.0022603397	-13.807497	0.89797497	0.015262402	0.18474999	2.0	304.72954416275024
5	27.29521	3.3681023	34.227203	19.074043	40.0	12.248768	6.6427646	25.876047	0.6268365	24000	-3.7252903e-09	6.8526363	-0.043743726	-5.463296	0.8977342	0.01566635	0.21000001	58.0	365.5575432777405
6	27.997454	3.3967938	35.073433	15.501312	40.0	12.667918	6.7517157	25.951357	0.46933022	28000	-6.519258e-09	5.7214947	-0.03361987	-4.766819	0.8874537	0.015463355	0.1485	26.0	412.9204981327057
7	27.701672	3.27002	35.24529	19.635117	40.0	12.427694	6.860358	26.53038	0.45594844	32000	-7.450581e-09	6.6167617	-0.028498558	-5.97182	0.87941015	0.015280973	0.14575	17.0	456.4827551841736
8	27.92117	3.2557213	34.956924	20.376657	40.0	12.110486	6.76562	26.253927	0.09391388	36000	-1.1175871e-08	6.388547	-0.028337829	-5.745219	0.8720508	0.0156099545	0.16675	19.0	500.85214924812317
9	28.207232	3.0381322	34.424343	20.572409	40.0	12.873408	6.9082255	27.290567	0.15159756	40000	3.7252903e-09	6.1906223	-0.037349574	-5.624366	0.8693447	0.015300844	0.18	27.0	549.1828861236572
10	27.740843	3.5036952	37.31424	19.02376	40.0	12.382377	6.820113	26.789455	0.386647	44000	7.450581e-09	7.972471	-0.035913445	-7.3549023	0.8685713	0.015259419	0.17825	24.0	595.8754041194916
11	27.38459	3.612544	35.63807	16.947165	40.0	12.217855	6.659724	26.82377	0.0598261	48000	-7.450581e-09	5.714132	-0.0453334	-5.2416477	0.8661317	0.01527231	0.2035	36.0	648.046539068222
12	27.120644	3.0402186	33.839737	19.503073	40.0	12.068802	6.7663555	27.599808	0.086951435	52000	-7.450581e-09	5.8283134	-0.037175093	-5.3847275	0.86451805	0.015088748	0.1575	27.0	696.3893511295319
13	26.67145	3.8093958	34.392563	16.73136	40.0	12.463091	6.8057504	27.617823	0.036389224	56000	-7.450581e-09	8.127017	-0.038252465	-7.5978575	0.8646206	0.015163008	0.20075	26.0	743.6880481243134
14	27.016323	3.795629	34.883797	18.414139	40.0	12.002761	6.6641507	27.695332	0.4309809	60000	1.1175871e-08	6.8620033	-0.036353197	-6.4283013	0.86052585	0.01513514	0.16	26.0	790.9893062114716
15	27.57739	3.6874728	35.682022	15.045474	40.0	11.853696	6.6547894	27.93377	0.27250147	64000	-7.450581e-09	8.00885	-0.0144594405	-7.62856	0.8534483	0.015601297	0.14400001	8.0	830.7645990848541
16	26.248903	3.7832108	36.206753	17.849264	40.0	11.929863	6.7234726	27.029324	0.21976268	68000	7.450581e-09	6.2331977	-0.036238175	-5.824243	0.8523603	0.015479843	0.17424999	24.0	877.5582461357117
17	26.638926	3.5041745	34.403694	17.31286	40.0	12.157489	6.615364	29.12484	0.13469803	72000	-1.8626451e-09	10.739111	-0.028402878	-10.081387	0.84694225	0.015052358	0.16100001	17.0	921.4532752037048
18	26.20234	3.6322756	35.513573	17.628485	40.0	11.929366	6.613893	27.28386	0.1523763	76000	1.8626451e-09	7.4893336	-0.04132551	-7.0367465	0.84515995	0.015044354	0.18724999	29.0	969.8402512073517
19	27.123873	2.9176354	36.82137	19.969484	40.0	11.563057	6.516929	28.189075	0.1559537	80000	1.5832484e-08	6.839778	-0.024869855	-6.541709	0.84399927	0.01739274	0.159	14.0	1012.1224660873413
20	26.96165	3.570162	36.499027	16.848188	40.0	11.957547	6.541464	26.962196	0.33181128	84000	3.7252903e-09	6.0302916	-0.031686097	-5.790066	0.8415158	0.0153331105	0.161	17.0	1055.7750840187073
21	26.538033	3.8877609	36.564568	14.649739	40.0	11.787586	6.3818035	27.800846	0.19935064	88000	0.0	10.198434	-0.021358412	-9.869309	0.83485246	0.016280368	0.1195	11.0	1097.384933233261
22	26.678545	3.682802	36.104164	14.391253	40.0	11.98166	6.6850786	29.690107	0.27470884	92000	7.450581e-09	6.7769165	-0.045690637	-6.487883	0.82948387	0.015205797	0.208	37.0	1149.837661266327
23	26.653667	3.5489736	35.996014	19.10346	40.0	11.838316	6.503994	27.450098	0.17667028	96000	7.450581e-09	7.0856705	-0.01975168	-6.8146777	0.8223233	0.016218726	0.1505	9.0	1190.1973991394043
24	26.120518	3.924253	36.164078	17.439665	40.0	12.072355	6.490865	26.535143	0.29014224	100000	-3.7252903e-09	6.6885567	-0.04217783	-6.399353	0.82072926	0.015122561	0.19275	30.0	1239.1269602775574
