Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	27.90623	3.6510606	33.770897	16.620567	40.0	-0.10606342	0.027421303	-0.047426604	-0.17470805	4000	-2.4433136e-06	208.40416	-0.053253997	-27.633514	0.9189386	0.0152452625	0.24000001	70.0	32.01229429244995
1	27.896072	3.3875682	34.6229	19.378925	40.0	1.0653948	0.04484543	1.1419492	0.8011301	8000	-2.5787356e-06	201.14873	-0.03284469	-76.97838	0.9042986	0.015174766	0.165	43.0	59.56261229515076
2	28.316519	3.8837285	36.478577	18.012573	40.0	4.8082323	0.19764137	4.9129777	3.4810514	12000	3.277779e-06	188.09975	-0.018182548	-114.91868	0.8965336	0.0066606184	0.08975001	79.0	87.52232265472412
3	27.050047	3.64857	36.057316	15.65279	40.0	11.653887	0.43560922	11.741544	8.956158	16000	-5.6743625e-07	135.76854	-0.0039547295	-95.53261	0.88444877	0.003648231	0.024500001	79.0	116.12015748023987
4	27.074549	3.8274753	35.621468	16.668512	40.0	20.058735	0.82081795	20.231182	15.010664	20000	1.5449524e-07	100.26137	-0.010136969	-69.70901	0.8779024	0.0008693338	0.037750002	79.0	143.98778367042542
5	27.589607	3.38466	35.36229	14.683432	40.0	28.30009	1.1217028	28.546518	21.28549	24000	-1.6241074e-06	76.4738	-0.010915286	-53.0448	0.8656343	0.0022758818	0.054500002	79.0	172.85517978668213
6	27.375698	3.5792916	33.87368	17.261105	40.0	35.415165	1.0176848	35.87367	28.379992	28000	4.5557026e-06	53.375965	-0.003361355	-36.019268	0.8547451	0.015259143	0.13550001	2.0	198.49497890472412
7	27.364641	4.2061186	36.161755	16.464739	40.0	41.191944	1.0212553	41.55886	34.61962	32000	4.973412e-07	40.196476	-0.017134741	-24.164375	0.8548023	0.010443964	0.08800001	79.0	226.36670517921448
8	28.009592	3.6836011	35.380962	18.812126	40.0	45.925358	1.0115688	46.871807	39.025475	36000	-1.3523103e-06	32.206566	-0.011590094	-20.212538	0.8440676	0.0028887829	0.042000003	79.0	255.79018783569336
9	27.650278	3.7770307	34.692204	18.059767	40.0	50.29047	1.0685158	51.012356	40.978943	40000	6.370545e-07	23.412964	-0.016293846	-13.407607	0.8265012	0.005999204	0.066250004	79.0	283.781054019928
10	28.031355	3.6602879	34.24886	17.200281	40.0	53.81751	0.9207418	54.71586	46.581787	44000	1.3828278e-06	18.284609	-0.01304452	-9.506258	0.8199041	0.0034737631	0.051250003	79.0	312.4177260398865
11	28.364038	3.5077024	35.31047	16.517689	40.0	56.8716	0.9392709	57.64507	50.42962	48000	4.2915346e-08	14.3276005	0.0060800347	-6.537235	0.7930285	0.018478561	0.3235	2.0	338.4199233055115
12	28.132517	3.7568688	37.88686	17.35862	40.0	59.416313	0.9555471	60.231544	53.044907	52000	2.735138e-06	11.741153	-0.0068342974	-4.511987	0.79297936	0.005346207	0.03525	79.0	367.47169303894043
13	27.711452	3.3871098	35.521416	19.224363	40.0	61.55045	0.9555339	61.953175	55.641243	56000	1.0871888e-06	8.752801	-0.004603756	-2.6084614	0.7839403	0.0036894395	0.035	79.0	396.13718152046204
14	27.253132	3.322963	34.194317	18.52577	40.0	63.18138	0.9713012	63.597	56.67137	60000	4.0817264e-07	6.3486986	0.004823843	-0.8011446	0.77898175	0.024442572	0.31625003	2.0	422.06064891815186
15	28.091352	3.2931619	34.52276	17.410095	40.0	64.05687	0.9705358	64.48081	57.554222	64000	5.4168703e-07	7.004778	-0.0067787706	-1.4707623	0.7789955	0.0019014111	0.031000001	79.0	450.40086340904236
16	28.603966	3.1389318	37.573864	21.655933	40.0	65.26055	0.9769901	65.88979	58.71934	68000	-3.2424927e-07	6.7659874	-0.0067840847	-1.4139929	0.75943685	0.00677237	0.043750003	79.0	478.9178478717804
17	28.653427	3.6679986	38.448383	18.418226	40.0	66.42894	0.97045463	67.06207	59.803093	72000	-9.2411045e-07	7.3530593	0.004459046	-1.3243032	0.75251555	0.017513108	0.26775002	2.0	504.82971572875977
18	27.93235	3.2998967	34.891228	16.756966	40.0	67.56465	0.9787854	68.227646	60.91438	76000	7.133484e-07	5.4873734	-0.0061388784	-0.2702303	0.7524557	0.0030345619	0.047500003	79.0	533.5524797439575
19	28.299665	2.838067	34.898697	20.850107	40.0	68.062035	0.9835919	68.695175	61.3805	80000	-2.8977395e-06	5.0525813	0.0035616257	-0.61298656	0.74245304	0.018971786	0.259	2.0	562.6154501438141
