Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	27.90623	3.6510606	33.770897	16.620567	40.0	-0.10606342	0.027421303	-0.047426604	-0.17470805	4000	-2.4433136e-06	208.40416	-0.052066006	-159.89537	0.9189386	0.01520317	0.23600002	68.0	52.71027994155884
1	28.191704	3.380197	34.753246	18.48186	40.0	12.899973	0.35599902	13.265959	10.873491	8000	-1.927376e-06	143.82286	-0.0057768337	-110.882126	0.90504205	0.002758084	0.038250003	79.0	82.35900211334229
2	28.70547	3.729211	37.129124	17.796572	40.0	23.252617	0.31630898	24.194935	21.982647	12000	-9.002686e-07	101.42983	-0.01533667	-74.13922	0.88510746	0.009778117	0.093	79.0	111.08918166160583
3	27.750908	3.5977104	35.957146	15.547125	40.0	32.034695	0.3069796	32.092907	30.138336	16000	7.772446e-08	64.20809	-0.00169304	-45.466892	0.8769982	0.0047991383	0.0205	79.0	139.6867127418518
4	27.94873	3.7626333	35.11877	16.656828	40.0	38.741047	0.35919634	38.808327	36.52276	20000	-1.7905236e-07	45.638935	-0.0026297788	-30.975342	0.87260854	0.0028295503	0.02525	79.0	169.00272870063782
5	28.22395	3.4234884	35.925606	15.047509	40.0	44.263077	0.3439197	44.327087	42.139317	24000	-5.054474e-08	32.89829	-0.0037463065	-21.515402	0.8691215	0.002795901	0.043250002	79.0	198.25679898262024
6	27.802458	3.3044224	35.275066	18.094074	40.0	48.955353	0.33190838	49.017532	46.90539	28000	-2.5749207e-08	22.437805	-0.0032382612	-14.039195	0.86091787	0.008545637	0.032750003	79.0	226.64314222335815
7	27.57821	3.9983554	35.599663	17.193623	40.0	52.6461	0.31592253	52.704536	50.69316	32000	1.2493135e-07	17.119425	-0.0026615832	-8.421835	0.8521275	0.00611179	0.020000001	79.0	254.91042685508728
8	28.192062	3.4687822	37.03372	20.69212	40.0	55.518818	0.2986065	55.574352	53.67345	36000	-4.9591065e-08	14.187503	-0.0026671086	-7.6648197	0.8483754	0.003214026	0.021000002	79.0	282.9716811180115
9	27.497375	3.7785754	34.97227	17.657887	40.0	58.321117	0.28466722	58.374233	56.562164	40000	-2.861023e-08	9.661184	-0.0016609898	-3.700564	0.83482623	0.004306201	0.017	79.0	310.9375925064087
10	28.220633	3.8410478	34.55351	15.600694	40.0	60.228313	0.26198095	60.27659	58.60799	44000	-4.4345857e-08	9.922421	-0.0026714422	-3.7809067	0.84352976	0.0022347975	0.022000002	79.0	338.97615003585815
