Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	27.90623	3.6510606	33.770897	16.620567	40.0	-0.049837187	0.019546501	0.034773506	-0.08974889	4000	-2.4032595e-06	207.93735	-0.049420495	-158.65172	0.9189386	0.015266407	0.22125001	65.0	25.210795164108276
1	28.310991	3.399468	35.73331	19.518635	40.0	12.880476	0.33605212	13.052407	10.742783	8000	-2.8409959e-06	147.6399	-0.050386854	-128.94421	0.9052299	0.015511847	0.20850001	30.0	46.680509090423584
2	29.10221	3.514954	36.00366	18.694078	40.0	23.009926	2.0540917	26.962309	19.514048	12000	1.4724732e-06	66.8174	-0.03580773	-62.66126	0.8943522	0.015355858	0.16675001	14.0	68.03014707565308
3	28.553473	3.1789384	36.903526	17.649422	40.0	30.325476	4.960052	38.666325	20.472795	16000	1.0059357e-05	6.1002455	-0.048675075	-2.556892	0.8911172	0.015715418	0.22525	24.0	89.3573112487793
4	28.506298	3.6119897	37.923096	18.12112	40.0	31.378222	4.746943	39.48613	21.998623	20000	2.137375e-05	4.852371	-0.032669786	-2.4665139	0.8871896	0.015095336	0.1595	12.0	110.145024061203
5	29.198965	3.251004	35.66792	14.79109	40.0	31.753658	4.849806	39.791252	22.749165	24000	-2.6735306e-05	5.4620013	-0.024643077	-3.2672155	0.88588417	0.016090259	0.172	8.0	130.30030345916748
6	28.952856	2.68979	35.56498	20.941872	40.0	32.539864	4.8399544	41.169304	22.956072	28000	-3.6287308e-06	4.201015	-0.032855272	-2.5045056	0.88485056	0.015596686	0.19350001	11.0	150.50987195968628
7	28.684797	3.6508975	35.38617	16.744057	40.0	33.52646	4.5530148	41.66341	24.03468	32000	1.19266515e-05	5.2238216	-0.013047141	-4.2608476	0.88366425	0.01723353	0.12575	3.0	171.7665011882782
8	28.96905	3.2426398	37.576378	19.38161	40.0	33.675045	4.717597	43.606857	24.429667	36000	2.0332338e-06	5.502493	-0.013857754	-4.9872766	0.88355047	0.016463203	0.13575001	4.0	194.6414167881012
9	28.469841	3.3918514	35.13171	18.786604	40.0	34.578617	4.690886	43.870472	25.22839	40000	7.342339e-06	4.6545873	-0.023274364	-4.3684535	0.8834357	0.015894115	0.16100001	7.0	216.23107481002808
