Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	27.85362	3.2134898	33.65517	16.250366	40.0	0.032214113	0.018466404	0.105381116	-0.02393924	4000	-3.1261445e-06	205.86732	-0.05513011	-156.69324	0.9189386	0.015172467	0.23700002	71.0	32.513596296310425
1	29.07953	3.0636528	37.2042	22.456133	40.0	12.602086	0.31000656	12.710526	10.691751	8000	4.7016147e-07	155.22383	-0.0019597816	-118.39145	0.9034716	0.003913487	0.01575	79.0	60.268213987350464
2	27.873219	3.630139	36.73575	17.758018	40.0	23.405018	0.3548975	23.900738	20.992523	12000	8.0871587e-07	93.50092	-0.009498978	-69.785034	0.8926969	0.0053440477	0.055500004	79.0	88.04042315483093
3	28.160627	3.2878408	34.96287	20.28107	40.0	31.820164	0.2630516	32.95195	30.809193	16000	-6.67572e-08	65.218796	-0.002342352	-48.912468	0.91547024	0.0026397726	0.025	79.0	117.46659278869629
4	27.34879	3.5699108	34.7134	18.019512	40.0	38.671658	0.38029093	40.707195	38.578106	20000	4.8637393e-08	39.062454	-0.0029261925	-27.469452	0.9034882	0.006956167	0.021750001	79.0	147.0753242969513
5	28.337715	3.1604612	36.186947	21.944023	40.0	43.917313	0.5631973	46.77411	43.75764	24000	-8.010865e-08	31.466646	-0.001983575	-22.181152	0.90479827	0.00397921	0.01875	79.0	176.8685495853424
6	27.872343	3.6819608	35.73697	19.031923	40.0	48.60225	0.723802	52.115044	48.388798	28000	9.536743e-08	21.663883	-0.003372517	-13.754361	0.9055201	0.006764757	0.038250003	79.0	206.45835304260254
7	27.828735	3.1600733	34.32332	19.762768	40.0	52.266212	0.7924645	56.076103	52.03261	32000	7.629395e-09	14.456289	-0.0028306649	-8.533402	0.9025855	0.0037846018	0.026250001	79.0	235.82863545417786
8	28.267153	3.4204516	36.10802	19.878014	40.0	55.228203	0.8030225	59.110916	54.992462	36000	4.5776368e-08	12.53536	-0.00227203	-6.539754	0.91562486	0.00553788	0.0225	79.0	265.0196485519409
9	27.720076	3.0324287	35.75411	18.905867	40.0	57.766197	0.78835183	61.622017	57.536232	40000	5.1498414e-08	7.7773547	-0.004117352	-3.2755218	0.9089917	0.0070845266	0.03675	79.0	294.0362403392792
10	27.996576	3.7408414	35.95151	17.41479	40.0	59.55521	0.73972887	63.233257	59.34158	44000	-5.1498414e-08	8.484311	-0.0034675123	-2.6211085	0.9035014	0.006928325	0.0445	79.0	323.86087226867676
11	28.002392	3.0768402	34.525253	19.545359	40.0	61.180153	0.6877657	64.655846	60.984962	48000	-5.1498414e-08	6.0881653	-0.0030906776	-1.9065213	0.9064259	0.0039148317	0.022000002	79.0	353.2132112979889
12	27.56733	3.3913417	35.448105	18.117298	40.0	62.56425	0.6265111	65.79475	62.390324	52000	3.8146974e-09	5.4544888	-0.0034704208	-1.135016	0.89460903	0.00331932	0.020000001	79.0	382.3645911216736
13	28.069815	3.2250605	36.584686	17.680246	40.0	63.5954	0.5353059	66.44419	63.45555	56000	7.629395e-09	5.1714234	-0.002710478	-1.106399	0.9034864	0.0040796846	0.029500002	79.0	411.373291015625
14	28.109215	3.304497	35.16202	19.565725	40.0	64.63116	0.5001312	67.32061	64.5028	60000	3.8146974e-09	5.029811	-0.002699356	-0.8567052	0.8867665	0.005694837	0.03525	79.0	440.3507821559906
15	27.89685	3.504432	34.549957	18.740204	40.0	65.55847	0.46744058	68.07898	65.442444	64000	0.0	4.664052	-0.0025400582	-0.38686514	0.87862897	0.0046731113	0.02875	79.0	469.48595118522644
16	27.611353	3.1762204	34.57215	19.800596	40.0	66.153625	0.42899418	68.48078	66.02709	68000	9.536744e-10	4.2498856	-0.0051472187	-0.21345997	0.86867374	0.005187951	0.04625	79.0	498.35453367233276
17	28.235498	3.1955523	36.057472	19.470915	40.0	66.59198	0.3833307	68.66667	66.26143	72000	-3.242493e-08	4.2696614	-0.0019288645	-0.43548083	0.86533755	0.0033966447	0.018250002	79.0	527.2683730125427
18	28.068693	3.786805	34.151802	18.576687	40.0	67.24749	0.35899287	69.22379	66.97006	76000	0.0	4.7799907	-0.0046634297	-0.20476818	0.8703981	0.0037199953	0.039750002	79.0	555.9334630966187
19	28.508667	3.0295663	35.59296	19.55415	40.0	67.68203	0.33388248	69.53251	67.39363	80000	0.0	3.8707876	-0.0028701173	-0.45714736	0.86587995	0.0042279875	0.029000001	79.0	584.6607925891876
20	28.05295	3.1785908	35.022945	19.12379	40.0	68.34062	0.31340325	70.086716	68.06035	84000	1.4305115e-09	4.0734873	-0.003168111	-0.090307	0.8751176	0.0061523793	0.02975	79.0	613.3559241294861
21	27.848139	3.2740393	38.046112	18.081001	40.0	68.61951	0.288726	70.21339	68.21532	88000	-1.525879e-08	3.9076824	-0.0032048607	-0.024638414	0.8811191	0.0052586077	0.030250002	79.0	642.0667307376862
22	27.829422	3.3937547	36.63631	20.24233	40.0	68.74155	0.2672876	70.197754	68.26624	92000	-6.914139e-09	4.0890045	-0.0028606586	-0.011506557	0.8803646	0.0028879242	0.026500002	79.0	671.2482163906097
23	28.397593	3.1368523	34.684254	20.327415	40.0	68.78963	0.2463815	70.134895	68.33886	96000	-5.722046e-09	3.793072	-0.0020468559	-0.12995505	0.866903	0.0046596024	0.025500001	79.0	700.164253950119
24	28.387184	3.9555917	36.95751	16.359116	40.0	69.14141	0.23738496	70.47873	68.86155	100000	1.9073488e-08	5.171056	-0.0011333161	-0.05824709	0.8545066	0.0028708829	0.0135	79.0	728.9377455711365
25	28.382217	3.1956825	36.44448	19.730204	40.0	69.36519	0.22689843	70.661316	69.18995	104000	-1.9073487e-09	3.9334464	-0.0019554817	-0.11912513	0.85416913	0.0014468126	0.015000001	79.0	757.9316110610962
26	28.50869	3.7283525	36.596725	14.406593	40.0	69.69695	0.20045997	70.822754	69.38221	108000	1.7166139e-08	4.932306	-0.0016194554	-0.13172674	0.8719563	0.002658387	0.015250001	79.0	787.5518181324005
27	28.11374	3.2623925	34.581387	19.880888	40.0	70.04444	0.18424794	71.06148	69.67463	112000	8.106232e-09	4.1584096	-0.0023511888	-0.019334793	0.891158	0.0029353607	0.01775	79.0	816.3416745662689
