Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	27.062416	3.6332548	35.699295	19.555752	40.0	0.031197453	0.017453844	0.09243089	-0.020701058	4000	2.75898e-06	0.4374922	-0.04672867	-0.43491372	0.9189386	0.015619429	0.2345	64.0	17.757919788360596
1	27.812466	3.5851033	35.908028	16.754354	40.0	0.6984204	0.12878299	0.96648204	0.3774041	8000	-2.0871164e-06	0.004586527	-0.04071038	-0.0030304855	0.90853435	0.015354167	0.22350001	65.0	32.60871887207031
2	27.939795	3.71504	34.97569	17.995571	40.0	0.70172	0.13868356	0.9357788	0.37175286	12000	1.8019678e-06	0.002615852	-0.027056469	-0.0015290176	0.8981945	0.015611506	0.22100002	11.0	46.33138728141785
3	28.118258	3.3740335	34.854286	17.58406	40.0	0.69939333	0.1396507	0.95879984	0.31672585	16000	1.7290116e-06	0.0024271118	-0.010845676	-0.0014972256	0.8965462	0.021133509	0.28975	3.0	59.97219276428223
4	28.85649	3.234326	36.791523	19.483513	40.0	0.72124475	0.1319658	0.9735401	0.31272537	20000	8.573533e-06	0.0017939257	-0.023547163	-0.0010476036	0.89608806	0.017102662	0.24550001	5.0	73.58712482452393
5	29.002827	3.0242257	35.585953	19.40672	40.0	0.72701514	0.12358609	0.9684195	0.34108707	24000	-8.089066e-06	0.0016053672	-0.018174635	-0.00084687886	0.8953655	0.015162865	0.16550002	3.0	87.14712142944336
6	28.640755	3.016771	34.97717	20.192074	40.0	0.7165492	0.12709422	0.99405605	0.35219118	28000	-1.9350052e-06	0.0013966227	-0.021817626	-0.00075184536	0.8946749	0.017152205	0.22600001	5.0	100.97360825538635
7	28.5281	2.9289248	34.407257	18.87574	40.0	0.7136044	0.13186671	0.9866488	0.3417799	32000	1.2054444e-06	0.0012962703	-0.02322075	-0.0006805366	0.892891	0.015621667	0.1615	5.0	114.58608078956604
8	29.064852	3.3160954	36.11169	19.527885	40.0	0.7256938	0.12817997	0.988654	0.33722472	36000	-1.3256074e-07	0.0013133131	-0.02210725	-0.00076656236	0.891489	0.016491173	0.21925001	4.0	128.33367490768433
9	28.634315	2.9176555	37.10596	19.867771	40.0	0.71722776	0.1333387	1.0029745	0.3032381	40000	2.9563905e-06	0.0010309181	-0.025750417	-0.00049191277	0.8911685	0.016642025	0.19975	4.0	142.12456822395325
10	28.964409	2.6354623	35.08604	22.558367	40.0	0.723931	0.13009986	0.9988638	0.32115066	44000	-1.3580323e-06	0.0010406564	-0.02145222	-0.0005346904	0.8905885	0.023510061	0.23150001	3.0	155.88434505462646
11	28.597485	3.1465461	35.384872	17.5817	40.0	0.71460164	0.1316084	0.98330647	0.30944413	48000	1.8090011e-06	0.0009154225	-0.023105271	-0.00043206362	0.89036953	0.01994158	0.24450001	3.0	169.57583379745483
12	28.774265	2.5373814	35.117462	23.230429	40.0	0.7216103	0.13015017	1.0028038	0.27621827	52000	5.6476597e-06	0.000855665	-0.020341001	-0.00041321776	0.8901904	0.016565215	0.1585	2.0	183.31459379196167
13	29.048695	2.843778	34.707993	21.838978	40.0	0.72753036	0.13089254	0.995239	0.36527658	56000	-2.5463106e-07	0.0008059101	-0.022130134	-0.00038740924	0.88988173	0.022080278	0.216	3.0	196.91410636901855
14	28.425865	2.6543782	35.627357	21.907219	40.0	0.7107488	0.13120802	0.9999807	0.33872184	60000	-7.689238e-06	0.000839122	-0.024243983	-0.00040334614	0.8893577	0.023648564	0.22825001	2.0	210.73333168029785
15	28.715187	2.8768342	34.86423	19.418636	40.0	0.7154874	0.13087732	0.9889835	0.33374462	64000	-8.864403e-06	0.00088541233	-0.016476953	-0.00047265986	0.88905925	0.015984472	0.20275001	2.0	224.2885127067566
16	28.409517	2.6516862	36.23683	22.168571	40.0	0.71062875	0.13390593	0.9895831	0.32691056	68000	6.628037e-07	0.00078557286	-0.025186185	-0.00039421653	0.8886947	0.015415045	0.13675001	2.0	238.08403277397156
17	28.868958	2.5277526	35.847466	22.575964	40.0	0.71925503	0.12659748	0.98435324	0.2863399	72000	-3.582001e-06	0.00075591705	-0.024357056	-0.0003652088	0.88836503	0.017084194	0.223	2.0	251.66974520683289
18	28.724468	2.881535	36.74962	19.594473	40.0	0.7186042	0.12698027	0.9805048	0.3351409	76000	-1.0662079e-06	0.0007628326	-0.019990038	-0.00035180192	0.8881578	0.023907816	0.25225002	2.0	265.26113629341125
19	28.783762	2.8303747	36.70587	20.684053	40.0	0.7193894	0.13676192	0.9898807	0.3257785	80000	4.747391e-06	0.0007076176	-0.028603425	-0.00034416898	0.88800704	0.025083112	0.2705	3.0	278.9300491809845
20	29.060152	2.9856741	37.181072	22.139275	40.0	0.72508615	0.13520211	1.0168552	0.31082523	84000	9.194375e-06	0.00071004557	-0.030451214	-0.0003663986	0.8879528	0.019335173	0.16775	2.0	292.45322704315186
21	29.255293	2.613594	35.97864	23.235392	40.0	0.7302565	0.13241285	0.9957077	0.33567256	88000	-2.8178692e-06	0.00068385876	-0.02638497	-0.00030965245	0.8879021	0.025272049	0.23850001	2.0	306.03326201438904
22	28.65516	2.963318	35.334015	20.741781	40.0	0.7180961	0.13820459	1.0082487	0.32012588	92000	1.4927865e-05	0.00063899416	-0.027374031	-0.00027443192	0.88779217	0.03798728	0.25075	2.0	319.6405613422394
23	28.888166	2.8159378	34.93393	17.898088	40.0	0.7212755	0.13537934	1.0003037	0.30292955	96000	8.208275e-06	0.0006246729	-0.01978005	-0.00029707904	0.88761514	0.01783769	0.079500005	1.0	333.2218005657196
24	28.724113	2.8092177	37.192516	22.287748	40.0	0.71676904	0.1367705	0.99994963	0.2838533	100000	1.0047198e-05	0.0006124648	-0.020489365	-0.00028835316	0.8875495	0.017963404	0.103250004	1.0	346.8495647907257
25	28.872837	2.7395415	36.678364	21.566021	40.0	0.7232453	0.13022214	0.9995459	0.3022705	104000	2.0885468e-06	0.00062804815	-0.01746243	-0.00029562484	0.8874757	0.026480943	0.124000005	1.0	361.037211894989
26	29.121668	2.6526828	35.941692	21.424995	40.0	0.7256745	0.13333786	1.0000932	0.28498876	108000	7.650376e-06	0.0006178554	-0.011845679	-0.00027984602	0.88737905	0.053380832	0.12775001	1.0	374.829749584198
27	28.714977	3.1347528	35.575726	20.422321	40.0	0.7201919	0.13711202	1.0028949	0.3527404	112000	1.576996e-05	0.0005930687	-0.0052280147	-0.00028571297	0.88722795	0.065460294	0.16175	1.0	388.4176104068756
28	28.804022	2.9176712	35.317646	18.03139	40.0	0.71896154	0.13658223	1.0018167	0.2893844	116000	1.9034387e-05	0.00059928064	-0.006437194	-0.00028852074	0.887062	0.07893108	0.27775002	1.0	402.06822204589844
29	28.531038	2.4533505	34.67404	23.072575	40.0	0.71287477	0.13000423	0.9968413	0.31139472	120000	-7.3413853e-06	0.00056203926	-0.0021900712	-0.000263078	0.8868949	0.055966992	0.2485	1.0	415.61619448661804
30	28.729548	2.3692183	34.778027	23.206541	40.0	0.7178854	0.12883796	0.9831774	0.3153653	124000	2.2569657e-05	0.00060533895	-0.0035241777	-0.00030415488	0.88675565	0.048489004	0.22100002	1.0	429.2040889263153
31	28.77095	2.352061	34.921177	23.537373	40.0	0.71859354	0.13043351	0.99524516	0.317143	128000	9.631158e-06	0.00056415965	-0.0067125	-0.0002674205	0.88664967	0.051456463	0.24050002	1.0	442.80613827705383
32	28.535244	2.203587	33.39187	23.417597	40.0	0.71361035	0.13029373	0.99068576	0.3087017	132000	1.0442734e-06	0.0005776715	-0.00045265772	-0.00027220367	0.8865934	0.046962343	0.19775	1.0	456.41410517692566
