Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	27.90623	3.6510606	33.770897	16.620567	40.0	-0.10606342	0.027421303	-0.047426604	-0.17470805	4000	-2.1257401e-06	208.40416	-0.05133651	-159.39813	0.9189386	0.015112955	0.21875001	68.0	24.169924020767212
1	28.26438	3.566626	35.968147	17.530691	40.0	12.744794	0.33169997	12.957942	10.573022	8000	-3.2615662e-07	146.83084	-0.014237701	-110.647	0.903157	0.00509993	0.093	79.0	46.07994031906128
2	28.244091	3.3047645	36.19325	17.512743	40.0	23.238476	0.47812295	23.583984	20.120504	12000	-5.4168703e-07	100.06244	-0.009816379	-77.551865	0.8888794	0.0042617344	0.05025	79.0	67.42086029052734
3	27.279875	3.5055742	36.60065	19.294022	40.0	31.89991	1.0369514	33.281437	28.626541	16000	-1.8033982e-06	56.42819	-0.015161186	-36.916676	0.8759574	0.010086547	0.098500006	79.0	87.63371205329895
4	27.199871	3.9867578	37.250874	17.25984	40.0	37.99371	0.37984353	38.064796	35.645287	20000	1.3399125e-07	41.67449	-0.004886047	-27.31461	0.87122977	0.0050929547	0.049750004	79.0	109.45703673362732
5	28.014969	3.4602365	35.861263	15.877588	40.0	43.186085	0.2823165	43.236774	41.430565	24000	7.343293e-08	34.15961	-0.0025393371	-22.105698	0.8532335	0.0035088744	0.020000001	79.0	131.37662172317505
6	27.384192	3.5646331	33.78828	17.202341	40.0	47.94508	0.43493238	48.298725	45.282852	28000	1.0960102e-06	22.090403	-0.009010027	-13.390248	0.8439766	0.007057193	0.0785	79.0	152.720144033432
7	26.734098	4.1604943	36.36198	16.610054	40.0	51.674576	0.31239256	51.734634	49.732273	32000	5.722046e-09	15.206288	-0.0025129884	-6.4064484	0.8399523	0.0058392705	0.021000002	79.0	177.52451705932617
8	27.57003	3.6526532	35.760597	18.4329	40.0	54.20538	0.2397561	54.248764	52.59954	36000	2.1743776e-07	13.567095	-0.0018562146	-6.8115215	0.8385355	0.0014523322	0.011000001	79.0	205.8137490749359
9	27.213966	3.9267566	35.368362	15.987295	40.0	56.799187	0.16532108	56.82866	55.765858	40000	9.536744e-09	10.7910185	-0.0025055294	-4.1256914	0.8192299	0.0037287099	0.029500002	79.0	234.5428192615509
10	27.808083	3.9488487	34.922207	15.688227	40.0	58.776264	0.09953658	58.90304	58.16541	44000	-4.7683717e-08	10.028247	-0.0029022847	-3.7344995	0.81583285	0.0034796493	0.027	79.0	262.1035349369049
11	28.107246	3.751107	35.81599	16.68121	40.0	60.698124	0.05314711	60.975998	60.519024	48000	5.626679e-08	8.447381	-0.0029391015	-2.6671562	0.79529166	0.004774154	0.044000003	79.0	290.18401980400085
12	27.699429	3.8235965	38.12283	16.848047	40.0	62.335037	0.07879657	62.75931	62.31521	52000	1.525879e-08	6.6957574	-0.0028315051	-1.3533435	0.7970392	0.004026925	0.036250003	79.0	317.2282991409302
13	27.35172	3.4405246	36.177517	18.942905	40.0	63.48396	0.10696392	63.968086	63.45677	56000	-2.2888184e-08	5.47659	-0.0022670366	-0.7696581	0.79558146	0.002729743	0.01875	79.0	345.703027009964
14	26.898544	3.5027804	34.611633	18.129227	40.0	64.35078	0.12844737	64.91046	64.31819	60000	0.0	4.938645	-0.0006056977	-0.079286575	0.79078424	0.018622262	0.25225002	3.0	370.81181478500366
15	27.972553	3.4581602	35.745827	16.894978	40.0	64.62911	0.13909549	65.240616	64.593864	64000	-1.525879e-08	5.380136	-0.0018136598	-0.71114683	0.79091746	0.0037448893	0.02025	79.0	398.4152100086212
