Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	27.906256	3.6509948	33.77087	16.620686	40.0	0.8996956	0.024574874	0.95365936	0.8396891	4000	-3.013611e-07	6.793356	-0.05183388	-6.2965183	0.9189386	0.015057324	0.22800002	68.0	16.87384057044983
1	28.114426	3.3688307	34.522892	18.845034	40.0	11.397461	0.5577973	11.542384	7.981417	8000	2.861023e-09	0.48621872	-0.006665417	-0.39566302	0.90511733	0.0067166886	0.038500004	79.0	32.36540460586548
2	28.865623	3.8275833	36.275097	18.118746	40.0	21.141777	1.0088985	21.339474	14.974784	12000	8.010865e-08	0.1652089	-0.0019326154	-0.127676	0.8928418	0.003152773	0.017	79.0	47.88598394393921
3	28.190493	3.3155777	36.894867	16.77096	40.0	30.134172	1.2759764	30.380043	22.303965	16000	8.440018e-08	0.065623924	-0.002111361	-0.048088927	0.9010292	0.0035750119	0.018250002	79.0	63.426024198532104
4	27.970976	3.6900797	36.964745	18.11062	40.0	37.456936	1.3272347	37.707355	29.277536	20000	1.6355516e-07	0.031379495	-0.003949915	-0.021860257	0.8953659	0.0041093407	0.041	79.0	79.92426776885986
5	28.656523	3.3974323	37.39088	15.310857	40.0	43.13539	1.2088406	43.356003	35.64685	24000	3.8146974e-09	0.019576043	-0.0024674071	-0.013545975	0.8791183	0.0011025246	0.015000001	79.0	95.51109504699707
6	27.927359	3.1885178	33.472916	18.148901	40.0	48.35057	0.9978845	48.521275	42.131557	28000	6.1988835e-08	0.009858174	-0.0034302226	-0.0066304123	0.86959535	0.0085051	0.036250003	79.0	111.17232584953308
7	27.721891	4.1285233	36.56198	16.71483	40.0	52.22239	0.73202795	52.568882	47.65738	32000	2.4795533e-08	0.0064930203	-0.0045396336	-0.0034329754	0.8627401	0.00807299	0.040000003	79.0	126.89800119400024
8	28.13946	3.5953557	37.020496	18.879318	40.0	55.28607	0.47621015	56.181866	52.433956	36000	5.1498414e-08	0.0043119956	-0.004377211	-0.0024654996	0.85265166	0.003198353	0.029000001	79.0	142.56499934196472
9	27.638216	3.702345	34.872414	17.604717	40.0	57.97778	0.30655128	59.414368	56.707104	40000	-6.008148e-08	0.0027077924	-0.0013910495	-0.0011511686	0.8437079	0.0026556372	0.015250001	79.0	158.39001441001892
