Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	27.90623	3.6510606	33.770897	16.620567	40.0	-0.10606342	0.027421303	-0.047426604	-0.17470805	4000	-2.4433136e-06	208.40416	-0.014958726	-10.546875	0.9189386	0.0058684647	0.037750002	79.0	35.425262212753296
1	27.899443	3.3231754	33.633995	19.203934	40.0	0.33402392	0.049331468	0.43942973	0.12699705	8000	-8.831025e-07	205.35823	-0.015890202	-22.435944	0.9153245	0.0057910485	0.047750004	79.0	65.17527890205383
2	28.695076	3.7380872	37.139317	17.826225	40.0	1.2849478	0.061031666	1.391686	0.94645876	12000	1.5449524e-07	213.52773	-0.013708672	-42.08925	0.91147476	0.0067842496	0.03925	79.0	95.20692229270935
3	28.175926	3.3064892	36.916424	16.649147	40.0	3.091348	0.12875894	3.2056632	2.2579622	16000	6.1607363e-07	195.30502	-0.008550034	-55.951584	0.9102366	0.0033862235	0.03075	79.0	125.60829877853394
4	27.887463	3.7143161	36.76208	17.544323	40.0	5.705625	0.21081574	5.7628026	4.2697597	20000	1.8930436e-07	174.2148	-0.006044	-65.117256	0.90836203	0.0024686756	0.0335	79.0	155.73919320106506
5	28.49468	3.3870416	37.307087	15.004194	40.0	9.096163	0.30120265	9.161707	7.0084867	24000	5.6934357e-07	165.72296	-0.003339614	-75.84165	0.9052474	0.0011001984	0.011000001	79.0	185.8651819229126
6	27.718616	3.357579	33.731834	17.661068	40.0	13.34815	0.40286532	13.441697	10.619688	28000	4.6110156e-07	136.0631	-0.0036133027	-73.86804	0.90307915	0.0076702647	0.034500003	79.0	216.6792185306549
7	27.491226	4.186867	35.902855	16.630642	40.0	18.215351	0.5037787	18.321978	14.716943	32000	7.743836e-07	114.125496	-0.003829621	-67.54643	0.9023584	0.0069303354	0.030500002	79.0	246.52962589263916
8	28.05856	3.6249163	35.102943	18.87476	40.0	23.550629	0.6317308	23.715933	19.285368	36000	3.1280518e-07	98.27119	-0.002294569	-64.472855	0.899368	0.0018302404	0.01025	79.0	276.872474193573
9	27.630383	3.7249115	34.79186	18.01528	40.0	29.367586	0.7888314	29.535215	24.27884	40000	1.3380052e-06	75.019005	-0.0037459624	-50.41964	0.89508635	0.0035689746	0.03375	79.0	307.32236671447754
