Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	24.69583	3.776214	33.80447	17.848442	40.0	0.062132057	0.20950967	0.5942322	-0.38536072	4000	-1.3136864e-05	157.8321	0.043277774	-137.0577	0.9189386	0.06596183	0.52575004	1.0	26.846136808395386
1	24.864643	3.5596693	32.73298	17.151684	40.0	9.849793	3.6072147	21.318947	4.1820235	8000	2.0658494e-05	81.05074	0.10088763	-60.779945	0.9186386	0.18943469	0.71675	1.0	46.2985942363739
2	24.597784	3.484097	32.722126	16.333414	40.0	17.393988	3.7247355	27.458303	10.397923	12000	-1.2750626e-05	57.82708	0.09120629	-42.34651	0.9186076	0.1417616	0.68025005	1.0	64.86698174476624
3	24.580402	4.330046	35.95898	13.34722	40.0	23.658714	3.124889	32.408646	15.91803	16000	2.55394e-06	44.55869	0.091420166	-30.046392	0.9185081	0.1380842	0.70100003	1.0	84.05012941360474
4	24.252449	4.0171547	34.98377	15.830954	40.0	29.048223	3.274697	39.23741	22.022436	20000	4.3281558e-05	35.26389	0.13140205	-21.357754	0.9185651	0.24866141	0.76825005	1.0	104.30073738098145
5	24.857416	3.5930293	35.74912	14.461483	40.0	33.356617	2.7090802	41.17526	28.188929	24000	-3.0002595e-06	26.353395	0.10733393	-15.725483	0.91867584	0.15661857	0.70600003	1.0	121.75113821029663
6	24.341814	3.8607297	35.467613	16.292553	40.0	37.005196	2.7199554	45.553085	30.857029	28000	1.756859e-05	21.420006	0.021847103	-10.520181	0.9188178	0.023746138	0.39925003	1.0	141.71897721290588
7	24.259695	4.2191596	36.10483	15.184612	40.0	39.998367	2.3693233	48.341595	34.852375	32000	3.6262514e-05	18.259138	0.070312314	-8.664338	0.9189546	0.09458222	0.67175	1.0	160.95070481300354
8	24.845713	3.3202586	34.287556	16.93708	40.0	42.930553	2.4329274	51.05807	37.3212	36000	4.4174198e-05	16.635618	0.0586741	-7.260663	0.9190098	0.078579836	0.60800004	1.0	179.85441827774048
9	24.741997	3.947089	33.650146	11.596409	40.0	45.3089	2.0070112	53.651505	40.17882	40000	-2.1677019e-05	13.76049	0.05976618	-5.933996	0.91902226	0.101717554	0.624	1.0	199.46226572990417
10	24.781733	4.0416255	36.419117	13.574191	40.0	47.52343	2.035252	53.79004	41.93792	44000	-6.917382e-05	11.320329	0.08845544	-3.7743125	0.9190694	0.12350526	0.69225	1.0	217.91988277435303
11	24.700089	3.343473	35.037106	16.742538	40.0	48.97384	1.9537247	58.34416	43.126698	48000	4.5333865e-05	12.167192	0.023222633	-4.0348682	0.9191004	0.032626048	0.39325002	1.0	238.00395941734314
12	24.354664	3.536249	35.943466	16.290787	40.0	50.69378	1.6519585	57.086514	44.653053	52000	-1.6483307e-05	9.757465	0.02107851	-2.8677893	0.91914606	0.024827141	0.39775002	1.0	255.6704921722412
13	24.763481	3.961569	35.282562	17.099224	40.0	52.069916	1.6506279	60.6348	46.673084	56000	1.5865327e-05	11.962642	0.10506447	-3.9860153	0.91916627	0.17416021	0.716	2.0	275.9296498298645
14	23.784168	3.3610013	33.050117	16.126657	40.0	53.4047	1.9278213	61.84928	48.587803	60000	4.0881754e-05	9.1749935	0.12304639	-2.0718417	0.91917926	0.19962667	0.76000005	1.0	295.10269594192505
15	24.46646	3.9955413	35.438156	16.423681	40.0	53.859825	1.3944653	61.16368	47.919052	64000	1.0603905e-05	7.9936767	0.12399509	-1.621727	0.9191851	0.21069334	0.76500005	1.0	313.83330821990967
16	24.53373	3.2173004	34.918777	15.474411	40.0	54.525265	1.6419477	61.048355	47.14884	68000	7.5374606e-05	7.480803	0.1171166	-1.3548188	0.9192023	0.18257532	0.73800004	1.0	334.2690050601959
17	24.68772	4.013164	38.467144	17.147333	40.0	55.05685	1.5459043	61.270874	47.622498	72000	-3.4397126e-05	7.913533	0.08214781	-1.4718151	0.91918224	0.10617222	0.67	1.0	354.70797395706177
18	23.94533	3.7121775	34.099358	15.791423	40.0	55.34243	1.6783051	64.89076	50.223698	76000	-2.20871e-06	6.6952977	0.0434882	-1.2095408	0.91910845	0.0607429	0.54	1.0	373.2104527950287
19	23.607338	3.502056	30.970499	15.295671	40.0	55.49157	1.4705255	61.190662	50.11623	80000	-3.6258698e-05	7.1990466	0.012494544	-1.2713418	0.91906863	0.01982433	0.27150002	1.0	393.2045202255249
20	23.585222	3.5850718	33.73693	11.991674	40.0	55.449173	1.309683	62.400726	48.682556	84000	-6.153298e-05	6.7068977	0.011702928	-1.2121005	0.91899973	0.023972755	0.2955	1.0	412.8169286251068
21	24.433437	3.8814907	36.74924	16.859766	40.0	55.919914	1.5473104	62.7556	49.26798	88000	-5.1122668e-05	9.35572	0.011684705	-2.0612144	0.9189349	0.019243618	0.2885	1.0	432.972665309906
22	24.170923	3.383377	32.49666	16.538588	40.0	56.58906	1.7231857	63.92349	51.96574	92000	5.389309e-05	8.368709	0.07218243	-1.433075	0.91890806	0.10555787	0.65025	2.0	451.66133761405945
23	24.079866	3.6951735	34.211594	16.25001	40.0	56.900803	1.3272719	62.21326	50.784103	96000	6.543732e-05	6.847159	0.10530667	-1.0890665	0.9188805	0.20430186	0.75075006	1.0	471.39457631111145
24	23.593904	3.3392086	32.345226	15.655397	40.0	56.757122	1.4334426	61.711266	51.123608	100000	-4.867554e-06	6.2318754	0.08931081	-0.9227991	0.91886944	0.12736034	0.68	1.0	491.6811821460724
25	24.659386	3.694137	32.96318	15.503055	40.0	56.84349	1.3679749	62.324062	52.49765	104000	2.2480011e-05	7.6644545	0.104249395	-1.6230869	0.91890115	0.18057859	0.73625004	1.0	509.5198392868042
26	24.530031	3.4135196	33.252014	13.334842	40.0	57.35849	1.3827605	62.264374	49.873383	108000	-4.11644e-05	6.7201033	0.092767455	-0.91734314	0.9189407	0.12491502	0.697	1.0	529.8953542709351
27	24.74326	3.9524229	36.724583	16.156603	40.0	57.845352	1.4043295	62.91779	52.888702	112000	-2.7897837e-05	8.494983	0.042407304	-1.8587618	0.9189751	0.03700165	0.48525003	1.0	548.8609592914581
28	23.915577	3.7074392	32.292507	15.445747	40.0	58.171787	1.8406988	64.00845	52.44771	116000	-6.828976e-05	9.013904	0.025647407	-2.0009904	0.91899675	0.024178395	0.42900002	1.0	568.9903354644775
29	24.230507	3.6970446	32.581543	16.649214	40.0	58.18834	1.5688928	63.16565	50.569717	120000	-5.008221e-05	8.17884	0.01131302	-1.3565516	0.9190145	0.01642186	0.28725	1.0	587.205629825592
30	24.47133	3.74742	36.15281	15.243395	40.0	58.225388	1.5029805	63.308376	53.586723	124000	-6.732941e-06	8.126573	0.0074031623	-1.6547208	0.91905546	0.02228027	0.25375003	1.0	606.9451520442963
31	24.24883	3.4786167	34.356964	16.604015	40.0	58.424244	1.4610279	63.841557	53.552525	128000	-4.3247226e-05	7.861932	0.020401958	-1.5345659	0.9190389	0.033964083	0.38700002	2.0	625.9281923770905
32	24.70707	3.2162702	33.099255	16.551092	40.0	58.83819	1.4769473	65.02668	52.125835	132000	-3.9676666e-05	7.3998647	0.04757441	-1.1902266	0.9190305	0.06347876	0.54675	1.0	645.5687930583954
33	24.76362	3.1462934	36.976734	17.644493	40.0	58.76354	1.3914644	63.734303	53.375877	136000	-3.160477e-05	7.180606	0.04491991	-1.0773864	0.9190368	0.058736157	0.54725003	1.0	664.698477268219
34	24.852697	3.8994834	34.530556	16.34173	40.0	58.78533	1.2294985	65.525764	55.60677	140000	-8.186341e-06	7.604434	0.053866833	-1.3427968	0.91906804	0.067429096	0.58875	1.0	684.2841849327087
35	24.718683	3.7411745	36.00353	15.442258	40.0	59.149826	1.4883859	65.8985	54.104607	144000	1.7951967e-05	7.8019586	0.045395087	-1.1523061	0.9190975	0.056127142	0.554	1.0	703.9126942157745
36	24.352537	3.8321755	36.206806	16.486158	40.0	59.15609	1.5109829	65.3403	52.373837	148000	1.8432618e-05	8.611337	0.021542791	-0.15488148	0.9191187	0.029984571	0.37575	1.0	722.0216422080994
37	24.418236	3.4651594	34.39723	15.18538	40.0	60.31092	1.6528034	67.22608	54.945385	152000	4.6234134e-05	7.864909	0.014509137	-1.226079	0.91912204	0.02220904	0.32475	1.0	741.7262201309204
38	24.721779	3.8621721	35.518707	17.062788	40.0	60.396034	1.5042826	65.38882	53.796337	156000	-2.1995545e-05	9.011798	0.0382482	-1.2040291	0.9191336	0.06075928	0.56125003	1.0	761.3361370563507
39	25.054253	3.5941513	34.676025	16.682875	40.0	60.372097	1.5811251	65.63493	54.842678	160000	4.1459087e-05	7.0945606	0.052543577	-1.0309696	0.9190902	0.06861379	0.59725004	1.0	781.2843661308289
40	23.725708	3.7585692	35.721344	16.220177	40.0	59.638657	1.3888191	64.77167	54.294804	164000	9.2556e-05	8.195469	0.04792959	-1.742773	0.9190635	0.05299011	0.56875	1.0	799.2490899562836
41	23.645979	3.7938604	33.218742	15.39763	40.0	59.21735	1.7123815	66.03483	54.780796	168000	-4.9860002e-05	8.518918	0.052943278	-1.117868	0.9190254	0.07651863	0.60475004	1.0	819.0548622608185
42	24.520857	3.4683552	35.1227	18.387749	40.0	59.21204	1.5741585	64.18854	53.202106	172000	-3.9024353e-06	8.164836	0.04246398	-1.1371961	0.91898954	0.058201972	0.555	1.0	837.5543859004974
43	24.471155	3.7307167	34.37584	16.238623	40.0	59.220367	1.3388457	63.05529	53.955734	176000	2.9447558e-05	6.7490587	0.0372168	-0.9016032	0.9189928	0.048507463	0.50600004	1.0	857.2124950885773
44	24.214262	3.7187512	33.39076	13.463972	40.0	59.05339	1.468585	65.02302	53.73585	180000	2.3605347e-05	8.072775	0.024374533	-1.4260445	0.918969	0.024781207	0.40225002	1.0	875.3442742824554
45	24.60057	3.2905273	32.62892	16.582586	40.0	59.007843	1.3709587	64.383415	54.27969	184000	1.9889832e-05	7.597803	0.04901685	-1.0192528	0.91894716	0.0752463	0.57125	2.0	895.1734137535095
46	24.83281	3.499987	32.9766	16.915482	40.0	59.308178	1.3275045	64.519684	54.89145	188000	-1.8020632e-05	6.617712	0.0840609	-0.96285677	0.91886795	0.13904263	0.67850006	1.0	914.7744879722595
47	24.16681	3.642329	34.05531	16.299301	40.0	59.34175	1.2966893	64.08305	53.09083	192000	4.2282107e-05	7.1367736	0.07508198	-1.2491307	0.9188148	0.07896515	0.6455	1.0	933.8836433887482
48	23.582579	3.6949782	33.19424	14.9580145	40.0	59.22394	1.4680517	63.14552	55.12486	196000	4.623413e-06	7.526105	0.057212684	-0.9576373	0.9187394	0.071244605	0.59800005	1.0	952.9479095935822
49	24.590952	4.0522037	33.956875	13.090481	40.0	59.109093	1.5391845	65.24813	52.164833	200000	-9.886742e-06	7.917971	0.028231401	-1.2611394	0.91869396	0.03142893	0.42175	1.0	971.7436072826385
50	24.612427	3.0758884	31.713501	16.907661	40.0	58.471016	1.5442898	64.39541	52.851578	204000	-4.2526248e-05	7.552975	0.024876997	-1.1040363	0.918684	0.031347252	0.44025	1.0	991.3001320362091
51	24.647	3.5623062	33.2841	16.90541	40.0	58.48767	1.3072456	63.102547	54.50308	208000	7.713318e-05	5.947218	0.01786802	-0.77043915	0.91866606	0.026132261	0.36100003	1.0	1010.2375497817993
52	24.209724	3.8276055	34.364174	17.220821	40.0	58.361088	1.4352233	63.660088	53.834873	212000	4.249573e-05	7.720893	0.014392812	-1.0864453	0.9186348	0.015580449	0.31475002	1.0	1028.9659745693207
53	24.384232	3.7874997	35.05974	12.831897	40.0	58.33013	1.5178943	63.729813	53.650253	216000	9.8693374e-05	7.9500766	0.0034947598	-0.8139868	0.9186174	0.022344373	0.28050002	5.0	1048.7804825305939
54	24.331945	3.703105	36.482372	17.432047	40.0	57.82448	1.434012	62.58085	54.67342	220000	3.1873704e-05	7.560569	0.018910635	-1.032176	0.91839325	0.02971372	0.41175002	1.0	1068.367380142212
55	23.906687	3.732514	33.799564	16.417097	40.0	57.912663	1.3504986	62.92607	55.258007	224000	-5.6568148e-05	6.7403216	0.017685981	-1.1634202	0.9183356	0.023849338	0.37875003	1.0	1086.3914029598236
56	24.809124	3.3612738	31.848444	14.400072	40.0	57.710827	1.3198458	62.138157	53.260143	228000	3.156376e-05	6.034407	0.011180519	-0.9900155	0.91825265	0.017173361	0.289	1.0	1106.5175454616547
57	24.844004	3.7611926	34.660305	14.697018	40.0	58.008076	1.4667858	62.489517	52.953983	232000	1.0353089e-05	8.713803	0.008917215	-1.6295648	0.9182526	0.016513785	0.29075003	1.0	1125.9960114955902
58	23.886274	3.416249	30.138332	14.659003	40.0	58.45801	1.3415517	62.895206	54.827377	236000	-1.7118455e-05	6.4155107	0.012126952	-1.1759105	0.9182652	0.021588678	0.31875002	1.0	1144.9027860164642
59	25.403484	3.745598	32.122437	16.925482	40.0	58.29957	1.2836273	61.666183	55.259415	240000	-4.2440417e-05	7.11183	0.013762299	-1.3509178	0.9182288	0.023675565	0.34025002	1.0	1163.2680616378784
60	23.843704	3.3659272	31.426224	13.043764	40.0	58.468628	1.4518752	63.560196	55.069813	244000	1.69096e-05	6.9584894	0.018067397	-1.1173801	0.9182177	0.026494455	0.41000003	3.0	1182.2705569267273
61	23.815773	3.4940073	34.132587	15.93018	40.0	58.14399	1.2704805	62.187626	54.482296	248000	-1.0850907e-05	7.4748707	0.007139788	-1.1810217	0.918279	0.017692786	0.24875002	1.0	1202.8196694850922
62	24.619604	3.6314332	34.951946	16.974806	40.0	57.785378	1.3911763	63.37528	54.849216	252000	3.169823e-05	7.7693605	0.020921322	-0.94551516	0.9183079	0.035202976	0.39875	3.0	1221.4341101646423
63	24.491596	3.84065	35.29936	15.971995	40.0	58.37926	1.3115356	62.476044	54.2571	256000	0.00015281297	7.5328307	0.019176908	-0.95045424	0.9182479	0.027819596	0.36650002	3.0	1240.4201867580414
64	24.919737	3.883645	36.649582	15.748165	40.0	58.389572	1.612382	64.39669	54.950607	260000	-1.8159868e-05	8.88594	0.014021924	-1.1644187	0.91829896	0.021999883	0.37525	1.0	1258.8152251243591
65	23.859194	3.6487443	32.632523	14.296195	40.0	58.71976	1.340408	63.56341	56.029667	264000	-8.643723e-05	6.698338	0.010742535	-0.8703389	0.9183228	0.022680096	0.24825001	1.0	1278.207068681717
66	24.262466	3.643276	31.959553	15.603521	40.0	58.398724	1.3788668	63.182053	54.842365	268000	1.197815e-06	7.021386	0.015321868	-0.7403674	0.91837025	0.028393306	0.3835	1.0	1297.0281448364258
67	24.740437	4.0060716	35.357033	14.055028	40.0	59.142403	1.4357156	62.675304	55.55078	272000	2.3933411e-05	8.987369	0.017437944	-0.97259617	0.91843295	0.025131123	0.34750003	1.0	1315.4980239868164
68	24.630974	3.7071753	34.73812	17.217134	40.0	59.495228	1.6555865	64.32792	55.44165	276000	2.2483826e-05	9.284964	0.014944531	-0.9863653	0.91847086	0.018523835	0.32950002	1.0	1334.2479436397552
69	24.34281	3.8819325	33.899845	15.493196	40.0	59.68244	1.2692342	63.206745	56.77047	280000	-2.8852464e-05	7.038095	0.013778555	-0.7287097	0.9184503	0.016512377	0.30675003	1.0	1354.6164441108704
