Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	27.87567	3.7632413	34.66989	16.44091	40.0	-0.008998617	0.05058788	0.09733863	-0.13461688	4000	3.0565263e-06	207.58408	-0.033036187	-142.01729	0.9189386	0.01504065	0.15475	37.0	21.733867168426514
1	28.001297	3.2693496	33.854088	19.117624	40.0	8.482154	0.0024729928	8.48267	8.4650955	8000	1.4677048e-06	162.36253	-0.0077790692	-95.67115	0.91000605	0.0035572094	0.03925	79.0	38.251869916915894
2	28.629353	3.6935763	37.496044	17.734451	40.0	14.344732	0.00070495385	14.344958	14.338972	12000	-7.87735e-07	142.23686	-0.013598492	-81.74457	0.9003045	0.004965669	0.0705	79.0	54.826130628585815
3	27.654394	3.4380655	36.801525	16.62584	40.0	19.664667	0.00054102327	19.664753	19.659386	16000	7.896424e-07	105.462006	-0.019506894	-59.84877	0.8921761	0.0067661735	0.10175	79.0	71.61357164382935
4	27.55794	3.8120296	36.13798	17.432953	40.0	24.275917	0.00024265324	24.275959	24.273848	20000	4.7874454e-07	84.91663	-0.018940348	-48.149677	0.8838299	0.00032244655	0.074	79.0	88.39942526817322
5	28.302406	3.3736289	37.4327	14.87601	40.0	28.49143	0.00031228218	28.49149	28.489342	24000	-1.2712479e-06	77.07941	-0.02093726	-44.538433	0.86789477	0.0015831992	0.07975	79.0	105.04542779922485
6	27.699892	3.3944352	33.86585	17.619368	40.0	32.614807	0.00022673	32.61485	32.612293	28000	-4.0471555e-06	59.313206	-0.022053258	-34.955414	0.85431117	0.005381781	0.10250001	79.0	120.80084872245789
7	27.447962	4.2334175	36.377388	16.539286	40.0	36.354916	0.00019960449	36.35495	36.352634	32000	6.694794e-06	48.73362	-0.032425076	-26.765747	0.85129035	0.008662308	0.127	79.0	136.3613200187683
8	27.955181	3.641506	34.179592	18.45349	40.0	39.706383	0.00024662822	39.706417	39.703236	36000	1.8362047e-05	41.927673	-0.033268392	-24.893188	0.8404618	0.0055276775	0.13425	79.0	151.95657968521118
9	27.617231	3.7823758	35.556503	18.268011	40.0	43.001587	2.4494917e-05	43.00159	43.000214	40000	5.783081e-06	33.62834	-0.03427961	-19.249706	0.8211002	0.0075775837	0.15225	79.0	167.5528974533081
10	28.034727	3.678954	33.967197	17.727282	40.0	45.975136	3.8146973e-06	45.975132	45.975132	44000	-2.2686007e-05	29.338072	-0.03492746	-16.847376	0.80543214	0.011987945	0.1585	79.0	182.98400282859802
11	28.106403	3.3544564	35.639877	16.148602	40.0	48.813457	7.6293945e-06	48.81345	48.81345	48000	2.555275e-05	22.15447	-0.0213136	-12.294043	0.7772779	0.016269159	0.13525	30.0	197.7676124572754
12	27.903467	3.6246445	34.43024	16.09146	40.0	51.301323	3.8146973e-06	51.301327	51.301327	52000	1.3725282e-05	18.550318	0.0041543706	-9.767419	0.77586526	0.019429253	0.18075001	1.0	211.9694185256958
