Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	28.538141	2.8720632	32.66987	23.074444	40.0	0.009900061	0.019283965	0.06649437	-0.04180467	1000	3.051758e-08	214.92572	-0.06520784	-172.47656	0.918938	0.015122115	0.248	49.0	79.0261299610138
1	28.395065	3.1523519	34.50524	21.56227	40.0	12.86892	1.1359793	14.8911915	10.300986	2000	-2.4840237e-08	50.75061	-0.048345573	-49.135067	0.91654027	0.015594146	0.244	76.0	173.49680519104004
2	27.342552	3.8486364	33.29509	19.631548	40.0	12.301789	6.384382	25.559654	1.8986475	3000	-7.763505e-09	16.38952	-0.044765748	-16.168798	0.9198337	0.0154649345	0.185	33.0	243.6044602394104
3	27.929026	2.5746524	32.896965	23.009844	40.0	12.147517	6.57199	26.380793	0.3564634	4000	1.3403595e-08	9.494088	-0.036358085	-9.21415	0.91515726	0.015660793	0.154	19.0	306.80645990371704
4	26.549559	3.3585353	32.383495	19.819016	40.0	13.106623	6.299856	25.891958	1.2019286	5000	-2.6017428e-08	10.719888	-0.057704885	-10.450453	0.9092251	0.016714655	0.265	32.0	377.7746331691742
5	27.276201	3.1868296	33.956326	21.292854	40.0	12.963004	5.9185996	25.21669	0.75722843	6000	-8.702278e-09	9.505457	-0.023507753	-9.242364	0.9008418	0.015676783	0.099	10.0	435.9345271587372
6	29.242556	3.0158932	34.89669	22.848959	40.0	12.300943	6.9659376	26.926708	0.4571786	7000	-3.1627714e-08	7.0502434	-0.00849053	-6.8060884	0.8985169	0.019909345	0.183	3.0	487.3258981704712
7	28.28495	3.2508585	33.421494	21.466496	40.0	12.576976	6.8947735	25.119585	0.46532124	8000	-1.3142825e-08	6.570301	-0.006105836	-6.377433	0.8978397	0.016262522	0.128	2.0	539.9757399559021
8	27.5309	4.1802855	34.64115	18.488155	40.0	13.0776415	6.8414617	26.193289	0.54589313	9000	6.377697e-09	9.052606	-0.04110902	-8.9302	0.89720875	0.015402612	0.133	27.0	608.4067721366882
9	28.789986	2.5836167	33.573215	22.793867	40.0	12.73544	6.872136	27.310867	0.6819656	10000	1.366064e-08	7.305145	-0.031523	-7.222856	0.8930733	0.015362655	0.112	14.0	667.4628221988678
10	28.831043	3.7411535	35.885174	18.638329	40.0	12.276234	6.468824	24.885033	0.19704987	11000	5.841255e-09	9.707216	-0.04242596	-9.501172	0.8927108	0.016187264	0.217	22.0	732.4759941101074
11	26.549334	2.8943844	32.635914	20.041832	40.0	12.674316	6.932279	26.192667	0.63877946	12000	-5.6028364e-09	6.8285513	-0.009249877	-6.693321	0.89128214	0.021134803	0.193	2.0	784.5043861865997
12	27.188675	3.5995667	32.860893	19.09907	40.0	11.985726	6.571933	25.409918	0.4060727	13000	-9.447336e-09	6.9605	0.0031573162	-6.8738537	0.8911094	0.023677288	0.271	2.0	836.858549118042
13	28.652134	3.662075	34.828247	18.824402	40.0	11.695828	6.4749937	25.33191	0.47572958	14000	8.8512895e-09	9.224594	0.00070423924	-9.09462	0.8910075	0.0245925	0.251	2.0	888.2344489097595
14	28.440786	3.2528117	35.26307	23.646986	40.0	13.081396	6.8787065	26.731697	0.36490852	15000	-1.1533499e-08	5.4227266	-0.022129267	-5.2923536	0.89099157	0.015610356	0.117	10.0	946.5189502239227
15	27.553318	3.0831172	34.602985	21.399452	40.0	12.601836	6.843815	25.741522	0.476546	16000	9.1344114e-09	4.768567	-0.028892754	-4.65152	0.8895013	0.015073852	0.113	18.0	1007.3197431564331
16	27.523561	3.4011958	34.974354	21.048927	40.0	12.786336	6.901367	26.628725	0.28633207	17000	-3.9935113e-09	5.3504586	-0.04991972	-5.219967	0.8886848	0.01530102	0.204	25.0	1074.7367131710052
17	28.231255	3.656398	34.153667	20.126938	40.0	12.047297	6.6105833	26.155344	-0.017268285	18000	7.897615e-09	9.229147	-0.046312492	-9.126985	0.8867678	0.015581409	0.188	24.0	1141.2448272705078
18	28.340157	3.399466	33.935722	20.875362	40.0	12.306246	6.9627094	28.291384	0.29148668	19000	2.9981138e-08	6.1180954	-0.013091355	-6.0336733	0.8832705	0.017397488	0.141	3.0	1193.0678231716156
19	28.656967	3.5260956	34.356804	21.94238	40.0	12.499404	7.0042934	27.078468	0.11437967	20000	-5.804002e-09	6.2828035	-0.03786946	-6.1869373	0.882727	0.016438128	0.191	16.0	1252.7693221569061
20	26.95358	4.266721	35.301987	19.681604	40.0	12.432296	6.947983	26.790224	0.2969743	21000	-1.8581748e-08	6.6542277	-0.035931323	-6.526934	0.8793945	0.015876438	0.197	19.0	1313.8697271347046
21	28.929367	3.1773393	35.489246	22.111633	40.0	11.964675	6.8572483	26.304285	0.043573678	22000	-5.029328e-08	7.417449	-0.023421966	-7.3088937	0.8813206	0.015211681	0.192	8.0	1369.2231621742249
22	26.73133	3.1625156	32.701027	21.561317	40.0	13.051069	7.009987	28.382381	0.70008665	23000	1.2218952e-08	5.9174986	-0.06110235	-5.8010974	0.8818109	0.015792388	0.265	44.0	1447.1514439582825
23	27.535189	3.4042337	34.465607	20.242428	40.0	11.757453	6.641319	24.787918	0.44852775	24000	-4.3660404e-09	6.8223343	-0.010835432	-6.7635026	0.8837667	0.015857812	0.124	3.0	1500.948606967926
24	26.123602	3.2153904	31.048353	20.131227	40.0	13.431891	6.638799	26.831013	0.39709723	25000	3.904104e-08	9.67754	-0.008413747	-9.571944	0.8835472	0.024362134	0.316	2.0	1552.2482960224152
25	27.086554	3.1366003	32.711487	20.922247	40.0	11.585116	6.260785	24.126295	0.63207585	26000	-3.218651e-09	5.6136913	-0.030577917	-5.540654	0.88336337	0.016247436	0.154	14.0	1610.6271822452545
26	26.23178	3.9450092	33.252117	17.516357	40.0	11.591532	6.629683	24.776814	0.3088795	27000	1.116097e-08	6.4031043	-0.039253056	-6.3147078	0.88071936	0.016463406	0.192	15.0	1670.0722501277924
27	27.86172	3.7498715	35.507034	20.446484	40.0	12.177013	6.632023	25.680843	0.62718403	28000	-4.4107438e-09	9.667099	-0.016318806	-9.534856	0.87861305	0.017321752	0.158	5.0	1723.7218089103699
28	27.521416	3.8101146	33.75192	16.845522	40.0	12.589369	6.7340503	27.468304	0.1100667	29000	1.48117545e-08	6.6676097	-0.040814426	-6.595415	0.87876034	0.01612936	0.197	30.0	1794.968994140625
29	27.18113	3.8538346	33.849747	17.352587	40.0	11.916217	6.9590735	26.161283	0.2692359	30000	2.2500752e-09	6.9087605	-0.023716493	-6.811838	0.87815267	0.015644215	0.142	11.0	1854.9061090946198
30	27.19291	3.4074473	33.52645	21.634007	40.0	12.420649	6.892336	26.740671	0.34844455	31000	7.301569e-10	6.934134	-0.006902982	-6.853477	0.87718344	0.026153194	0.217	2.0	1907.371211051941
31	27.394049	3.1687186	32.043438	19.688725	40.0	12.544516	6.703759	25.471539	0.12374325	32000	1.40070915e-08	6.8514934	-0.04139292	-6.776038	0.8769789	0.0155052515	0.179	21.0	1969.1623430252075
32	27.749855	3.6022618	32.84595	18.34886	40.0	11.886528	6.5581694	26.005625	0.31911612	33000	-2.9042363e-08	5.199253	-0.017240256	-5.11615	0.87540966	0.019554295	0.119	6.0	2025.0519349575043
33	27.278645	2.901145	33.420803	23.157408	40.0	12.57908	6.861748	28.415594	0.58524936	34000	-1.1593103e-08	3.987935	-0.06654367	-3.901233	0.87522745	0.015081138	0.259	37.0	2100.6793880462646
34	28.059258	3.2590928	34.445465	21.110743	40.0	12.274643	6.776813	25.48296	0.2100493	35000	-1.04755165e-08	5.529664	-0.041707307	-5.4027953	0.8699841	0.01610998	0.22	19.0	2163.371922969818
35	27.808472	3.5547917	33.625446	19.2769	40.0	12.989654	7.05129	26.69843	0.46155792	36000	-8.761883e-09	4.7465067	-0.041636605	-4.639824	0.86761916	0.01528092	0.187	18.0	2225.2923562526703
36	27.408676	2.8356962	32.46052	21.493126	40.0	12.736451	6.7779922	26.018536	0.48576152	37000	-8.732081e-09	4.6449575	-0.029761909	-4.5260916	0.8690242	0.016074756	0.122	16.0	2286.023327112198
37	26.912945	3.7294528	33.34748	17.168728	40.0	12.141518	6.3608994	24.99027	0.2772516	38000	-1.6577541e-08	6.9220104	-0.031485565	-6.804253	0.865574	0.015642175	0.217	18.0	2348.0624499320984
38	26.11344	3.3506572	31.19304	20.245935	40.0	12.148127	6.443697	26.200476	0.30178678	39000	2.1278858e-08	5.658681	-0.008772384	-5.5780983	0.8638618	0.025262043	0.262	2.0	2402.122635126114
39	28.44405	3.137249	34.744835	20.726109	40.0	11.320418	6.3343077	25.021286	0.33032492	40000	-1.2171269e-07	8.413174	-0.031814918	-8.261074	0.8639891	0.015793173	0.174	14.0	2461.801595926285
40	27.285906	3.9338129	33.407333	16.68912	40.0	12.964434	6.9604263	26.06529	0.38196754	41000	-1.654029e-08	8.016985	-0.03162845	-7.9235806	0.864968	0.016463794	0.224	13.0	2521.9674990177155
41	27.803024	3.4357812	34.197243	21.134775	40.0	12.862783	6.7025247	26.153978	0.6845414	42000	-5.722046e-09	7.9079213	-0.008559099	-7.8352675	0.8650489	0.017251316	0.142	3.0	2575.718262195587
42	27.722029	3.0769055	32.317577	20.161263	40.0	13.174348	7.051364	26.131756	0.44340807	43000	-5.0365925e-09	7.0109315	-0.059404057	-6.936539	0.8649481	0.015105159	0.219	39.0	2650.6392703056335
43	27.869263	3.0901794	33.613094	20.414162	40.0	13.034373	6.9728165	26.77141	0.21961883	44000	3.6656858e-09	7.0592475	-0.021113394	-6.960368	0.8542934	0.015923562	0.073	8.0	2705.062672138214
44	28.840288	2.6263628	33.214912	18.923935	40.0	12.831422	6.919184	26.516375	0.6913973	45000	-1.618266e-08	4.3968663	-0.010784594	-4.2882466	0.8526643	0.01739162	0.227	4.0	2760.545191049576
45	27.448074	3.4756207	35.55238	19.499786	40.0	13.537834	7.039685	26.53002	0.38804817	46000	-8.9406965e-10	7.6200075	-0.032103352	-7.5186577	0.85236794	0.015098514	0.128	15.0	2823.782219171524
46	26.846533	3.265239	33.51997	21.537836	40.0	12.622668	6.8788395	28.370096	0.41492885	47000	-8.046627e-09	5.202971	-0.03539702	-5.138973	0.85190415	0.016549269	0.2	11.0	2880.428078174591
47	28.45969	3.0193546	32.850803	19.941435	40.0	11.771865	6.492706	26.087044	-0.15243769	48000	-1.5228986e-08	7.1551867	-0.009757678	-7.014755	0.85120815	0.026931968	0.29	2.0	2932.4989941120148
48	29.106106	2.7484264	33.606598	23.76824	40.0	12.755958	6.8563886	25.577059	0.4129021	49000	-4.9844386e-09	4.1265554	0.0048880135	-4.0258126	0.85102034	0.024657656	0.271	2.0	2984.846566915512
49	28.509758	2.670661	34.58892	22.534342	40.0	13.8004465	7.0615416	25.985712	0.48432004	50000	6.437302e-08	4.851957	0.00033595055	-4.7422748	0.85079116	0.016326042	0.248	2.0	3036.374111175537
50	28.021778	3.2786255	32.563374	20.473236	40.0	12.653713	6.8707514	25.629454	0.20641336	51000	-3.606081e-08	4.2063932	-0.0495234	-4.128584	0.85056555	0.015334263	0.189	27.0	3102.604229927063
51	28.111597	2.9150267	32.493965	22.222462	40.0	12.690808	6.772832	25.942564	0.36236578	52000	3.4049155e-08	4.852649	-0.01205136	-4.787669	0.8525417	0.015453798	0.157	3.0	3156.9445672035217
52	27.70808	2.9014137	34.809326	23.043411	40.0	12.820026	6.791774	25.197548	0.392104	53000	-6.3702466e-09	3.8642232	-0.026673706	-3.7840557	0.85277104	0.015534005	0.163	14.0	3216.009732246399
53	27.71894	3.427141	33.072815	21.63284	40.0	12.823645	6.8326035	27.384424	0.51691586	54000	-9.179115e-09	5.941612	-0.009727563	-5.855365	0.8524099	0.016576588	0.159	4.0	3270.592217206955
54	27.385492	3.9922514	36.02863	19.251623	40.0	11.950819	6.6877146	27.615168	0.40047258	55000	-1.6614795e-09	10.320617	-0.003541303	-10.234396	0.8526877	0.016079895	0.239	3.0	3323.6861729621887
55	28.440313	2.2827742	31.550879	22.929995	40.0	12.581413	7.01097	29.018559	0.24496368	56000	7.987023e-09	4.8090663	-0.05654936	-4.7183833	0.8531304	0.015144041	0.21	41.0	3399.779333114624
56	27.377466	3.3750913	35.93901	20.920609	40.0	12.890648	6.840559	25.075623	0.44805467	57000	2.2262334e-08	6.177531	-0.06312057	-6.0777416	0.85322714	0.015325631	0.247	44.0	3474.739711999893
57	26.945677	3.578843	33.334892	20.489826	40.0	12.432757	6.5071588	27.560436	0.59357595	58000	-1.0848045e-08	7.8453197	-0.06840996	-7.7447486	0.84797937	0.015308924	0.264	37.0	3546.371391057968
58	27.851429	4.028154	36.395287	18.105934	40.0	12.362433	6.894155	26.226198	0.39065212	59000	-4.5895576e-09	7.43615	-0.010990497	-7.346266	0.8478962	0.017479064	0.118	3.0	3602.3660311698914
59	27.534903	2.9894187	33.60748	21.550722	40.0	12.896859	6.844712	27.439894	0.15810595	60000	-1.1108816e-08	4.2189546	-0.075037725	-4.158906	0.8472676	0.015484774	0.301	28.0	3668.9182550907135
60	25.90422	3.8662968	32.941936	17.486778	40.0	12.2555065	6.7804403	27.151773	0.5406269	61000	7.987023e-09	10.264535	-0.040072035	-10.193806	0.84529907	0.016953496	0.184	15.0	3731.4637162685394
61	27.53604	4.247887	35.441463	17.000984	40.0	11.652832	6.450741	25.639698	0.45219153	62000	-1.04755165e-08	8.939673	-0.045546394	-8.866226	0.8411706	0.015132459	0.22	16.0	3790.848025083542
62	26.559553	3.1435833	34.13819	19.524778	40.0	11.811336	6.516928	27.700459	0.22381654	63000	-8.195639e-09	5.3203654	-0.024675274	-5.2285686	0.83953685	0.016992202	0.153	9.0	3849.8679749965668
63	26.489548	3.1430845	32.664963	20.294119	40.0	11.907104	6.3183446	26.27044	0.58196664	64000	8.5681675e-09	7.4527564	-0.055425063	-7.3820696	0.8390578	0.01513373	0.229	26.0	3920.081919193268
64	26.919312	3.4282818	33.896996	19.09554	40.0	12.021502	6.4686255	24.982332	0.048207916	65000	-1.7452985e-08	6.504352	-0.007538537	-6.406716	0.83391047	0.018996174	0.199	3.0	3972.772769212723
65	27.203125	3.3195648	36.34182	20.7035	40.0	11.934502	6.754932	27.924665	0.26592034	66000	-3.0890106e-08	7.91078	-0.028560791	-7.783156	0.83355373	0.015494476	0.195	13.0	4032.281158924103
66	28.398592	3.472245	33.148777	20.34893	40.0	12.257063	6.454092	26.01081	0.39340022	67000	9.030104e-09	6.8698363	-0.06827486	-6.7949214	0.8327585	0.01513874	0.263	54.0	4118.979225158691
67	26.404509	2.9842503	31.052298	18.480185	40.0	13.099246	6.948584	26.46124	0.5830513	68000	-1.9371509e-08	6.09042	-0.03487528	-6.024149	0.8251489	0.015015458	0.116	12.0	4176.892322063446
68	27.922085	2.8938832	35.476204	21.334187	40.0	11.447548	6.348203	25.03005	0.3465726	69000	9.208917e-09	5.1870832	-0.026274942	-5.094402	0.8232295	0.017344447	0.13	10.0	4232.649600028992
69	27.137396	3.6519074	32.75698	19.692467	40.0	12.520873	6.850707	28.643463	0.5367292	70000	1.1444092e-08	6.5238857	-0.002856003	-6.429575	0.8198777	0.015072609	0.177	3.0	4286.99228811264
70	27.084606	4.0992856	33.856815	19.297255	40.0	12.645728	6.8642387	26.512037	0.50986403	71000	2.3677945e-08	8.324994	-0.07052071	-8.264088	0.81855327	0.015178278	0.281	45.0	4365.834455251694
