Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	27.925823	3.7854917	35.36571	17.031324	40.0	-0.1131154	0.008099895	-0.088774085	-0.13397656	4000	1.0204316e-07	210.40428	-0.0057748044	-162.43295	0.9189386	0.001680214	0.02425	79.0	19.21133303642273
1	27.838293	3.5592697	34.79061	17.293015	40.0	13.782422	2.8802552	22.322739	5.007216	8000	1.3351441e-08	48.31921	-0.008388445	-7.291794	0.9178946	0.00249196	0.043250002	79.0	32.95354771614075
2	28.400127	3.4478166	36.937294	20.37387	40.0	12.799618	2.620394	25.235136	6.4014077	12000	1.1444092e-08	43.04226	-0.009970963	-2.2099495	0.9171991	0.0028129527	0.059250005	79.0	46.86701011657715
3	28.442478	3.1409948	33.591404	16.066214	40.0	12.793154	3.1180193	29.176796	6.217809	16000	-1.4305115e-08	41.413727	-0.009965065	-2.4305115	0.8992071	0.007776899	0.062250003	79.0	60.76913332939148
4	28.217546	3.5105662	35.083767	18.846046	40.0	13.01509	3.2588196	29.987894	8.107791	20000	7.629395e-09	38.4248	-0.008831746	-1.9671898	0.89934415	0.0046923175	0.039750002	79.0	75.55076313018799
5	28.612583	3.810622	37.137775	19.306593	40.0	12.959725	3.346707	27.998274	8.266161	24000	-1.6212464e-08	37.56851	-0.011665228	-2.9668274	0.88742954	0.0006664329	0.0665	79.0	89.28694581985474
6	27.881533	3.3910184	34.662434	18.916302	40.0	12.868011	3.819976	27.112825	6.859582	28000	-1.4305115e-09	35.120174	-0.01049969	-2.0393105	0.85757816	0.0081396345	0.056	79.0	102.9828052520752
7	27.813126	3.8622715	36.93139	18.622808	40.0	12.721491	3.746574	26.584614	6.2166	32000	1.9073487e-09	34.899906	-0.011744739	-2.1246986	0.8602603	0.009592261	0.07325	79.0	116.84580254554749
8	28.031197	3.083623	37.237656	20.416754	40.0	12.809723	3.7795177	26.612726	7.711507	36000	1.1444092e-08	32.398716	-0.010595137	-1.6882801	0.8578217	0.0051564565	0.053000003	79.0	130.59045910835266
9	27.65718	3.5655134	34.069794	17.098648	40.0	12.552262	3.9059753	26.482346	7.347954	40000	-7.629395e-09	32.19417	-0.012124532	-2.1305332	0.8535829	0.008125859	0.072000004	79.0	144.26479291915894
10	27.91308	3.8212066	36.541492	17.305841	40.0	12.508398	4.0959597	26.013453	6.732364	44000	2.6702882e-08	32.10911	-0.01189499	-1.9067707	0.8528278	0.0062993406	0.074750006	79.0	157.99632167816162
11	27.871199	3.361095	34.462036	18.506838	40.0	12.654435	4.2283106	25.191729	6.0186157	48000	0.0	28.751638	-0.012257086	-1.8678226	0.8309319	0.008024681	0.072500005	79.0	171.70749473571777
12	27.83699	3.6674287	34.13071	17.82494	40.0	12.272756	4.5280566	25.236193	4.427425	52000	2.861023e-09	31.178282	-0.011771402	-1.8737926	0.83843505	0.008727319	0.066750005	79.0	186.31021571159363
13	27.823606	3.7557945	33.606457	15.528828	40.0	12.938057	4.3168683	25.66407	5.420262	56000	-8.583069e-09	30.965532	-0.01378215	-2.086628	0.8382873	0.008158066	0.0665	79.0	200.0959768295288
14	27.96789	3.3595412	34.36397	19.653633	40.0	12.508981	4.468439	24.944958	4.221076	60000	-5.245209e-09	28.071255	-0.01209607	-2.1060925	0.82479584	0.0066133817	0.065500006	79.0	213.8976092338562
15	27.8616	3.5238776	36.243946	19.835712	40.0	12.6944475	4.553526	24.66088	5.20571	64000	4.768372e-09	29.666431	-0.013852894	-2.3368835	0.8197333	0.009613437	0.08625001	79.0	227.6814501285553
16	28.25976	3.4607334	36.249374	17.118172	40.0	12.729212	4.5720596	25.62289	2.1154122	68000	-1.4305115e-09	29.825857	-0.012449081	-2.5294228	0.8119431	0.006954364	0.066750005	79.0	241.42046117782593
17	28.05435	3.300145	36.974995	18.487486	40.0	12.577218	4.631031	25.817173	4.47165	72000	1.9073487e-09	29.122967	-0.014646276	-3.1290607	0.81014556	0.008809222	0.094000004	79.0	255.09739637374878
18	28.390636	3.4902108	36.542904	18.298983	40.0	12.764283	4.4421086	24.744865	5.621235	76000	-5.722046e-09	32.486256	-0.015433921	-2.3431454	0.80862355	0.009966496	0.085	79.0	268.8015925884247
