Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	28.582308	2.978098	36.246986	20.246082	40.0	-0.102822214	0.026970586	-0.03908646	-0.17870715	4000	-3.8146975e-08	217.68666	-0.015256661	-163.36061	0.9189386	0.00477654	0.0675	79.0	32.0492479801178
1	28.81221	3.1283813	35.366257	20.728828	40.0	11.841606	1.6737514	15.28868	6.610927	8000	-2.1507742e-06	162.02309	-0.019316575	-121.30925	0.90352535	0.007657382	0.0925	79.0	60.31162881851196
2	28.352959	3.7282188	37.170998	19.25381	40.0	22.847788	1.914982	27.789774	14.684552	12000	1.7242432e-06	111.6152	-0.024453763	-78.984604	0.8915843	0.008912226	0.108	79.0	88.60093808174133
3	28.118559	3.609958	35.519375	19.862669	40.0	31.473528	2.305509	35.591442	22.78022	16000	2.6326181e-06	80.64702	-0.026158223	-54.202908	0.88578135	0.0070056356	0.09550001	79.0	116.43346834182739
4	27.259567	3.2562988	35.804813	20.547577	40.0	38.55952	2.0527105	45.69552	28.987757	20000	1.5268326e-06	52.570213	-0.027041566	-34.95877	0.87368053	0.003707392	0.10275	79.0	144.17025518417358
5	28.114605	3.3749325	36.158943	20.124727	40.0	44.204334	1.7760904	50.26378	33.004547	24000	-1.953125e-06	42.232033	-0.0263055	-26.757893	0.8619755	0.008153555	0.101	79.0	172.93429398536682
6	27.99116	3.7785478	37.21433	16.40503	40.0	49.127304	1.7343748	53.96753	39.60476	28000	-1.3656617e-06	28.343483	-0.0037619022	-16.767117	0.8449574	0.019301755	0.16700001	4.0	199.4064645767212
7	28.353008	3.6307428	35.320526	17.483984	40.0	52.976875	1.9194465	58.777008	42.51184	32000	6.862641e-06	24.904196	-0.026077801	-13.759311	0.84482914	0.0030143429	0.1005	79.0	227.93313932418823
8	28.201593	3.4662192	36.62005	18.560505	40.0	56.51771	2.0118883	65.39561	46.96834	36000	-7.102013e-06	18.701283	-0.031144938	-7.8701935	0.8314838	0.011273358	0.1315	79.0	256.35409474372864
9	28.562397	3.154856	35.387848	19.506817	40.0	58.96665	1.9438002	66.31071	48.715313	40000	7.011414e-06	15.560366	-0.029726056	-6.0164585	0.8205487	0.004360433	0.10975	79.0	284.5725932121277
