Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	28.246296	3.1849377	36.22684	19.448397	40.0	-0.10326617	0.02689435	-0.03908646	-0.18102385	4000	1.3561249e-06	0.67245567	-0.013914004	-0.65633184	0.9189386	0.006712088	0.064	79.0	23.039005517959595
1	28.577225	3.0441675	35.716427	20.583275	40.0	0.7109072	0.062170547	0.90353304	0.48295924	8000	-1.9569397e-06	0.01680742	-0.020487731	-0.0053754263	0.9176607	0.00810203	0.091000006	79.0	44.04076313972473
2	28.808006	3.3801367	35.639233	21.310604	40.0	0.7168051	0.07872042	0.97058105	0.41230303	12000	-2.6321413e-07	0.014177851	-0.02123893	-0.0034477906	0.90711737	0.005252273	0.10225	79.0	64.55320906639099
3	28.454111	3.5201397	36.04226	19.751177	40.0	0.7168573	0.09626635	0.9927237	0.36389035	16000	3.5858156e-06	0.013821059	-0.025733477	-0.0042690793	0.8923241	0.009170065	0.118750006	79.0	85.41478967666626
4	28.059372	2.9790678	35.50552	20.714914	40.0	0.7147008	0.09563304	0.9810519	0.3683591	20000	4.4918062e-07	0.013395222	-0.02744346	-0.003391238	0.88555706	0.009112793	0.12725	79.0	106.6554217338562
5	28.80207	3.220356	36.07869	18.012642	40.0	0.7091007	0.086744264	0.9126979	0.2888879	24000	-5.113602e-06	0.012020676	-0.02811866	-0.0034173056	0.8756814	0.010593818	0.121750005	79.0	127.47722721099854
6	28.853237	3.2472446	36.717655	21.11317	40.0	0.7068258	0.0949714	0.96548295	0.35659963	28000	-2.4414064e-06	0.012558312	-0.027654229	-0.0047006104	0.87318534	0.01019335	0.13100001	79.0	148.2419035434723
7	29.155085	3.0316975	35.77587	19.99399	40.0	0.73186415	0.102399446	0.9772436	0.41315496	32000	6.1721803e-06	0.011484153	-0.030977499	-0.0035883617	0.858719	0.010769502	0.1385	79.0	169.1686291694641
8	29.131132	2.7426894	37.00057	20.82979	40.0	0.7187299	0.09026032	0.934543	0.36932796	36000	1.8785478e-05	0.011680449	-0.030180143	-0.004025655	0.86172104	0.009047902	0.127	79.0	190.45378923416138
9	28.87073	2.939543	36.127235	20.808908	40.0	0.73515564	0.09151054	0.99041796	0.32142466	40000	-9.519577e-06	0.012065116	-0.028945725	-0.0032016458	0.8469075	0.0069729756	0.133	79.0	212.05152463912964
