Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	24.478754	3.64727	33.47524	16.939795	40.0	0.052830376	0.21213147	0.6154511	-0.38654035	4000	3.3527613e-08	152.80876	-0.025780592	-126.573746	0.91893846	0.002069315	0.132	79.0	68.66447496414185
1	25.193117	3.743402	34.781048	16.896894	40.0	10.629891	2.318372	18.634726	5.3564334	8000	7.450581e-09	92.65771	-0.025331888	-71.13962	0.9069343	0.0103937145	0.1285	79.0	133.2255198955536
2	24.750322	3.5533555	33.42588	17.923447	40.0	18.873579	3.7461467	32.143402	11.310264	12000	2.7939677e-09	51.483204	-0.029086348	-33.881035	0.8917188	0.015396442	0.13925	78.0	197.656152009964
3	25.429785	3.639278	35.453777	16.252829	40.0	25.070566	3.5759017	36.10335	16.755093	16000	3.7252903e-08	43.53262	-0.02950054	-24.222832	0.8828184	0.011958987	0.15325001	79.0	266.73218417167664
4	24.960028	3.6749854	33.777786	16.411385	40.0	29.34267	3.275819	41.56016	21.24242	20000	-4.0978193e-08	34.604736	-0.031370394	-20.556553	0.869725	0.012550094	0.155	79.0	337.40293884277344
5	25.09581	3.7229154	34.954594	16.989437	40.0	33.803986	3.0087852	44.273304	25.714834	24000	-1.9557774e-08	28.075987	-0.029598743	-14.433971	0.8528413	0.014367616	0.12900001	79.0	405.6007950305939
6	24.918194	3.9221263	34.851284	14.748266	40.0	37.59483	2.872734	46.985405	29.0793	28000	-4.4703484e-08	21.18865	-0.031973053	-8.902684	0.85844827	0.01253024	0.1435	79.0	476.6664168834686
7	25.472115	4.0082793	36.489468	15.942628	40.0	40.245274	2.94525	50.013226	30.245321	32000	1.6763806e-08	24.51447	-0.03031856	-9.84553	0.85329074	0.015011152	0.16424999	51.0	532.5997409820557
8	25.18391	3.583124	35.640488	17.484974	40.0	42.939987	2.8646255	52.495792	34.118538	36000	9.313226e-09	17.07016	-0.019047584	-5.1389637	0.84253454	0.0155783165	0.12925	23.0	576.1686038970947
9	25.351788	3.6219184	35.62554	16.903217	40.0	44.993416	2.6123714	57.01942	36.107464	40000	4.8428774e-08	14.321664	-0.032947503	-3.8077133	0.839355	0.01533465	0.17125	76.0	641.4335570335388
10	25.4906	3.840675	35.982906	17.331127	40.0	46.527225	2.6874735	58.39959	35.994232	44000	2.6077032e-08	17.678059	-0.0012946567	-5.3140583	0.82675123	0.015784547	0.2075	2.0	676.9507789611816
11	25.177244	3.6689239	32.467846	15.033843	40.0	48.44318	2.443877	57.57598	38.30415	48000	8.614734e-09	12.361595	-0.0034813783	-3.2599857	0.8266537	0.016717311	0.16975	2.0	711.9427709579468
12	25.407549	3.278731	37.3586	15.496028	40.0	50.00168	2.4822524	59.821526	39.78532	52000	-2.7939677e-08	14.796809	-0.01890592	-3.6663103	0.8265381	0.015127179	0.127	20.0	754.3532919883728
13	25.490545	3.9914324	35.91102	16.426031	40.0	51.166294	2.7859325	66.403305	42.31518	56000	2.0489097e-08	13.880911	-0.03438419	-2.775688	0.8220649	0.015441814	0.17050001	69.0	818.6394879817963
14	25.80264	3.837664	34.12596	14.342339	40.0	52.20812	2.8780224	62.559315	42.54372	60000	1.5832484e-08	12.092611	-0.011087989	-1.9386503	0.82131606	0.015551332	0.20375	8.0	861.2054579257965
15	26.310583	3.8100572	35.623615	14.255156	40.0	52.94678	2.8769953	68.8751	43.68477	64000	2.2351742e-08	12.753836	-0.027787564	-2.5353954	0.8211986	0.015030862	0.15924999	40.0	913.3617379665375
16	25.612822	3.9838617	36.508183	16.603912	40.0	53.691914	2.8763223	63.98607	43.395706	68000	-1.8626451e-09	14.858024	-0.011022137	-2.1010363	0.8110985	0.016312566	0.16525	7.0	953.1528570652008
17	25.804127	3.7135646	35.659782	16.43673	40.0	54.17109	2.6777973	65.711174	42.983727	72000	-2.0489097e-08	13.2078085	-0.0006698973	-2.5196695	0.8107061	0.018678162	0.25325	2.0	988.5059299468994
18	25.75973	3.6824791	35.117096	16.419693	40.0	55.19699	2.6447678	66.212296	45.995747	76000	1.5832484e-08	11.888457	-0.01258917	-2.4394774	0.81066453	0.015076319	0.12325	12.0	1028.7571239471436
19	26.73004	3.492416	35.82292	17.059769	40.0	55.763866	2.8790596	67.479385	46.82241	80000	3.3527613e-08	14.095169	-0.019985588	-3.5593925	0.811471	0.015116056	0.14025	17.0	1072.8067440986633
20	26.924816	3.524248	34.60875	16.197866	40.0	56.90642	2.9215784	69.54458	46.949856	84000	-1.8626451e-08	13.576916	-0.026853412	-2.6317422	0.81434935	0.0151793985	0.13675001	41.0	1126.5170681476593
21	26.267273	4.0818505	37.001038	16.396313	40.0	57.334023	2.829718	68.40545	47.73189	88000	1.4901161e-08	13.605061	-0.01613801	-2.36729	0.81334037	0.015156487	0.13475001	13.0	1168.1433780193329
22	26.855518	3.5483215	35.467873	14.684257	40.0	57.793804	2.8970811	68.544945	49.284126	92000	2.0489097e-08	11.833198	-0.00038423273	-2.030609	0.811863	0.017710768	0.24475	2.0	1205.2850749492645
23	27.044556	3.1874213	37.183434	20.69107	40.0	58.349453	2.7966247	70.42204	48.259945	96000	0.0	12.039361	-0.00046525616	-2.5878146	0.81172955	0.017406568	0.2065	2.0	1244.5490748882294
24	27.673779	3.821538	37.00679	19.059492	40.0	59.249508	2.880195	73.1281	47.83511	100000	1.6763806e-08	15.473295	-0.020943237	-3.3764777	0.81166774	0.015967308	0.16075	23.0	1293.7765781879425
