Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	27.530266	3.542304	33.136177	19.650791	40.0	-0.011208973	0.04931433	0.09166205	-0.13132054	1000	4.529953e-08	201.5186	-0.03593006	-140.1601	0.918938	0.013538217	0.195	79.0	79.19760274887085
1	26.98491	3.193396	33.55435	19.990822	40.0	8.560859	0.03952212	8.60533	8.313948	2000	3.8325787e-08	60.940197	-0.0061315503	-14.579559	0.8994763	0.015131987	0.245	5.0	122.15070080757141
2	27.060192	3.8351054	32.935703	20.736328	40.0	11.491483	0.01915785	11.513984	11.374289	3000	-7.212162e-09	47.73355	-0.024119064	-1.1121597	0.89873856	-0.002813715	0.117	79.0	201.27565598487854
3	27.956785	3.4130044	34.500706	19.897789	40.0	12.379135	0.021380212	12.4001	12.246201	4000	3.679842e-08	52.062447	-0.02414793	-0.34954834	0.9062731	0.009898796	0.148	79.0	280.7775340080261
4	27.772781	3.0290682	33.93037	22.489206	40.0	12.884883	0.011603718	12.897822	12.825013	5000	1.6078353e-08	53.531727	-0.02925891	-0.019451141	0.9034292	0.008246488	0.15	79.0	357.2607157230377
5	27.320995	3.3581836	32.58807	20.757446	40.0	12.788634	0.013379933	12.802544	12.722129	6000	1.9945205e-08	50.692272	-0.027318904	-0.02355957	0.91189593	0.0063643446	0.163	79.0	434.4654200077057
6	27.27457	4.29773	34.086452	18.36876	40.0	12.869195	0.011162155	12.88033	12.800644	7000	-1.6473233e-08	50.12155	-0.031833414	-0.05317688	0.92773813	0.008745678	0.187	79.0	512.6044969558716
7	28.459967	2.7448394	32.229645	23.1459	40.0	12.648976	0.014285803	12.660835	12.553377	8000	-7.554889e-09	54.364742	-0.022209203	-0.19047165	0.9265264	0.015189029	0.135	62.0	581.6918489933014
8	28.04113	3.4881158	33.503593	20.85952	40.0	13.072015	0.008286821	13.081928	13.03281	9000	3.2044948e-08	51.32206	-0.030647652	-0.026924133	0.93124247	0.0040687867	0.166	79.0	658.6296300888062
9	28.30141	3.3919375	34.89686	21.38033	40.0	12.917002	0.007940599	12.925594	12.868582	10000	2.5331974e-09	50.49273	-0.023512674	-0.12470245	0.9516416	0.0139261875	0.14	79.0	735.9023759365082
10	29.062056	3.0870433	34.638157	23.186632	40.0	13.274672	0.006329807	13.281702	13.230312	11000	-2.783537e-08	53.972633	-0.003701844	-0.10651398	0.951251	0.02376832	0.185	3.0	777.6915519237518
11	29.425877	3.1816442	35.086704	23.257147	40.0	13.605232	0.005083003	13.612013	13.577146	12000	-2.3387372e-08	59.109695	-0.005464338	-0.08518982	0.95116144	0.015376394	0.167	5.0	820.1093368530273
12	28.014162	2.237611	32.050354	23.252098	40.0	13.899718	0.006937096	13.907627	13.858684	13000	1.3768673e-08	51.403732	-0.03036416	-0.32007217	0.9502848	0.012724937	0.16	79.0	897.4530980587006
13	28.803883	2.9728546	33.952045	21.869505	40.0	13.321663	0.008346402	13.330478	13.279995	14000	-6.094575e-09	54.05171	-0.027039926	-0.005908966	0.929696	0.006583753	0.156	79.0	974.2897658348083
14	28.016685	3.3256543	33.417973	20.14044	40.0	13.344052	0.008493583	13.352609	13.290326	15000	3.3944847e-08	52.48397	-0.007096957	-0.04801941	0.9204481	0.017751602	0.163	2.0	1014.6648879051208
15	28.655642	3.728393	33.87278	16.624594	40.0	13.145009	0.006865145	13.151261	13.093237	16000	-1.1064112e-08	56.692	-0.031270888	-0.026008606	0.92024124	-0.0031363328	0.149	79.0	1090.3841071128845
16	28.205132	3.4128153	34.65029	20.990427	40.0	13.297169	0.006308924	13.304425	13.257438	17000	2.6099384e-08	52.27049	-0.0058420217	-0.06915665	0.9156377	0.016045868	0.088	3.0	1131.5625867843628
17	28.557655	3.3202996	35.121128	20.691677	40.0	13.035902	0.007415807	13.042855	12.965496	18000	-5.595386e-09	52.81521	-0.029186904	-0.020648956	0.91549885	0.0013155456	0.169	79.0	1209.5834770202637
18	26.749487	3.546274	32.130547	17.455013	40.0	13.16328	0.0057444717	13.168894	13.134419	19000	7.921131e-09	49.093235	-0.031713683	-0.8106117	0.90112776	0.004723424	0.175	79.0	1289.0265097618103
19	28.718765	4.3493323	37.403687	19.1082	40.0	12.26427	0.0058959727	12.270887	12.243543	20000	4.127622e-09	57.199646	-0.024813645	-1.3212585	0.9009952	0.015025897	0.149	72.0	1363.7237660884857
20	29.184769	2.8070614	34.658886	22.097029	40.0	13.408578	0.0038622736	13.412926	13.385627	21000	-8.143485e-09	54.88064	-0.029128075	-0.021148682	0.89605284	0.015066582	0.179	49.0	1429.3607800006866
21	28.11474	4.075544	36.988373	16.901339	40.0	13.542354	0.0037868062	13.546494	13.523013	22000	4.8354267e-09	54.462753	-0.033430826	-0.15267563	0.88351357	0.0022971216	0.183	79.0	1508.4508428573608
22	30.410128	2.6089237	35.892147	24.212759	40.0	13.158744	0.004874892	13.163124	13.12462	23000	-2.0712614e-08	61.429813	-0.026159378	-0.5994797	0.9019624	0.008745298	0.143	79.0	1585.1175718307495
23	28.77812	2.8862958	33.639496	22.02577	40.0	13.921266	0.004162776	13.925264	13.884039	24000	1.8902123e-08	55.66172	-0.02981501	-0.17651749	0.9093297	0.01066482	0.21	79.0	1661.6821777820587
24	28.496618	3.2704089	34.835056	22.601206	40.0	13.509617	0.008277404	13.515795	13.460101	25000	2.6267022e-08	56.060764	-0.005841891	-0.15298843	0.90660065	0.01517808	0.185	3.0	1703.445051908493
25	29.229843	2.5085082	33.79145	23.621788	40.0	13.131847	0.003554839	13.135284	13.100826	26000	2.3156405e-08	54.062153	-0.02663958	-0.36618805	0.90694016	0.006954436	0.149	79.0	1780.9046049118042
26	29.138145	2.964874	34.998333	23.799507	40.0	13.726112	0.0027943267	13.72884	13.685916	27000	-2.5726855e-08	55.453888	-0.01375298	-0.0032043457	0.9136349	0.015170671	0.12	17.0	1829.3081469535828
27	27.927795	3.2167325	34.645645	20.097319	40.0	13.749221	0.0021597377	13.751633	13.734955	28000	-4.5528637e-08	48.949646	-0.02497158	-0.46673203	0.9111681	0.012227315	0.155	79.0	1906.430907011032
28	28.157688	2.9709868	33.15608	21.208622	40.0	13.076029	0.0031756784	13.078968	13.060676	29000	-1.949817e-08	52.66379	-0.024050986	-0.015014648	0.9057168	0.0028828345	0.134	79.0	1985.9723091125488
29	28.219507	2.916004	34.580795	20.735811	40.0	12.98438	0.0049608746	12.987975	12.942322	30000	5.2154063e-09	50.00888	-0.03462177	-0.01493454	0.9003125	0.007016964	0.183	79.0	2064.4543330669403
30	26.536863	2.6119819	29.821507	20.727545	40.0	13.097771	0.0041849287	13.101279	13.064967	31000	1.5078113e-08	48.545883	-0.0044947783	-0.6898804	0.86987436	0.0158857	0.187	3.0	2106.2541258335114
31	27.730295	3.6465187	32.882607	19.780367	40.0	12.273592	0.0046007866	12.277644	12.245165	32000	-8.672476e-09	49.830482	-0.010108136	-0.50806427	0.86976737	0.01588607	0.226	10.0	2151.4498488903046
32	28.943018	2.7902827	34.943222	22.891975	40.0	12.812331	0.08957799	12.85088	12.142508	33000	-9.521842e-09	54.777695	-0.007699015	-11.826809	0.8702292	0.017790176	0.224	3.0	2193.416251897812
33	28.311226	3.0162406	33.89088	19.238386	40.0	13.446931	2.012415	15.971021	5.1712027	34000	-1.1600554e-08	51.966633	-0.024938468	-8.78009	0.87061256	0.015099033	0.158	48.0	2255.951034784317
34	28.42811	2.9505074	33.257183	21.544151	40.0	13.009531	2.1305833	16.213139	9.922473	35000	-1.9222497e-09	46.022293	-0.030506698	-7.5687943	0.88285726	0.011303022	0.196	79.0	2333.0080568790436
35	28.964228	3.0804806	33.698055	22.035416	40.0	13.478811	2.0219374	16.968296	10.135783	36000	3.5732985e-08	54.05479	-0.0044718953	-13.952087	0.89466614	0.015051157	0.233	3.0	2375.1477348804474
36	29.794075	2.76185	35.749287	24.582634	40.0	12.75337	2.9219654	18.955523	3.421039	37000	-2.0116568e-09	62.028812	-0.028784486	-19.089241	0.8949959	0.015035114	0.2	72.0	2448.9462411403656
37	28.607824	3.3163118	33.301926	19.510101	40.0	13.422381	3.6883426	19.248522	0.0092960335	38000	-5.7555734e-09	56.89956	-0.029424557	-23.394238	0.8855918	0.011674454	0.19	79.0	2526.452868938446
38	26.936787	3.0797503	31.38178	19.431757	40.0	13.449061	4.0123525	21.367405	3.657798	39000	-5.2154063e-09	51.262623	-0.00755237	-19.956339	0.86503667	0.018223569	0.137	6.0	2569.7174038887024
39	26.99784	3.7151084	31.071241	11.997978	40.0	12.057189	3.8829074	21.715252	2.0997767	40000	2.6822091e-09	49.122494	-0.015399211	-19.182518	0.86423296	0.01511157	0.115	21.0	2619.9597136974335
40	27.597979	3.2060685	32.96288	20.472927	40.0	12.655436	4.1621647	21.986925	1.9711134	41000	-2.7097762e-08	50.85525	-0.026268272	-24.61764	0.8553616	0.010629681	0.146	79.0	2699.682249069214
41	27.143349	4.2631717	33.87909	14.278562	40.0	12.777086	4.7136846	22.938025	4.2155848	42000	-3.3769755e-08	65.36034	-0.029329898	-29.821255	0.84853256	0.0155742895	0.191	64.0	2771.231509923935
42	27.405151	3.1501868	33.306713	17.597198	40.0	12.443078	3.3643363	22.809984	1.6423028	43000	-1.5377998e-08	51.43245	-0.029827652	-19.066078	0.83187026	0.008839041	0.157	79.0	2848.4440557956696
43	28.308975	2.9633858	34.1319	22.9359	40.0	12.918916	3.8483205	23.66773	2.3514793	44000	5.90086e-09	50.13571	-0.012691127	-15.6329	0.8408688	0.015647495	0.125	10.0	2896.035757780075
44	28.593111	2.6997254	35.48133	23.963541	40.0	13.545198	3.3760166	23.622824	7.0302973	45000	2.7291478e-08	49.992165	-0.03352829	-17.037575	0.84158134	0.006969663	0.198	79.0	2976.1379857063293
45	27.477041	2.964244	32.288853	19.438509	40.0	11.988775	4.4168777	24.05079	2.923996	46000	-7.107854e-09	61.296	-0.007565145	-25.841042	0.8395924	0.016095648	0.108	5.0	3022.121323823929
46	28.716185	2.9648843	32.426003	20.890238	40.0	13.640306	3.8730786	23.442188	6.681608	47000	-2.771616e-09	57.968796	-0.028712487	-22.707615	0.83875114	0.010582381	0.208	79.0	3101.0496509075165
47	28.416275	3.0394578	34.079365	20.384546	40.0	13.201056	3.1756792	24.661613	8.124878	48000	4.313886e-08	47.539024	-0.023900367	-13.120899	0.8467878	0.015033413	0.134	75.0	3176.0842146873474
48	28.768545	3.272154	34.307068	19.478294	40.0	12.565123	3.1346407	24.357632	7.5306077	49000	-1.5705824e-08	62.016037	-0.022210652	-24.308182	0.84442955	0.016699664	0.185	32.0	3231.0764360427856
49	28.836058	3.5548496	34.300114	18.145842	40.0	14.405817	3.5685978	24.568903	7.467121	50000	6.437302e-09	58.169434	-0.033238422	-24.3978	0.8503099	0.010618882	0.217	79.0	3308.1568579673767
