Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	28.676155	3.3215644	35.940094	20.431065	40.0	-0.011007937	0.024301602	0.08015704	-0.08049822	4000	-1.1587144e-07	218.19861	-0.015421944	-166.9931	0.9189386	0.0037950312	0.0705	79.0	17.272454261779785
1	27.949644	3.549054	35.578316	19.467327	40.0	11.959155	1.3848513	15.375781	7.591923	8000	-9.059907e-09	50.04052	-0.018644717	-2.6123161	0.9130533	0.007035413	0.07325	79.0	32.510952949523926
2	28.667072	3.1699939	34.552166	17.196875	40.0	13.047213	1.2170807	17.2109	8.9645	12000	2.0027162e-08	52.398582	-0.019581778	-4.328369	0.9119141	0.0024074407	0.088750005	79.0	47.86862754821777
3	28.537024	3.0169077	35.538425	20.80684	40.0	13.20867	1.5283881	17.96013	8.799818	16000	1.09672555e-08	51.530064	-0.0227967	-2.3931313	0.9105117	0.007935208	0.106750004	79.0	63.08382320404053
4	27.861181	3.0620415	34.52201	19.838655	40.0	12.936078	1.2187935	17.763325	9.265944	20000	3.8146974e-09	46.947556	-0.02618292	-1.7949181	0.9125087	0.0070206863	0.12375001	79.0	78.42606377601624
5	28.301342	3.1577067	36.192383	20.401031	40.0	12.926267	1.6477313	18.709171	8.235021	24000	-8.583069e-09	49.741108	-0.024637943	-2.5452385	0.9009738	0.011231224	0.115	79.0	93.61274647712708
6	28.360674	3.1668942	34.66658	20.5351	40.0	12.797305	1.5670562	19.97391	8.105577	28000	-3.0994418e-08	46.346886	-0.026184445	-2.168045	0.8958636	0.004364362	0.100250006	79.0	108.80069327354431
7	28.324705	3.0956898	35.057255	18.671085	40.0	12.923644	1.8077868	25.504677	7.721733	32000	-5.722046e-09	46.753086	-0.029662872	-2.4902	0.8946723	0.010444908	0.1225	79.0	124.09763312339783
8	28.41246	3.2748578	35.231712	18.514345	40.0	12.849639	2.16612	22.79358	7.102002	36000	4.768372e-10	47.584885	-0.029741945	-4.1239357	0.89310867	0.005601742	0.12125	79.0	140.3295295238495
9	28.580374	3.0978925	34.5837	18.468842	40.0	12.987416	2.167536	26.82484	7.6852326	40000	1.0490418e-08	49.23955	-0.030310266	-3.9109497	0.8872834	0.0106819505	0.12575	79.0	155.57770085334778
10	28.656782	3.4801702	35.28039	15.846639	40.0	13.234277	2.0178103	27.044622	6.3549523	44000	2.527237e-08	48.669197	-0.031691257	-5.2321854	0.89373505	0.012797781	0.13825001	79.0	170.91633939743042
11	29.184206	2.7690606	34.650875	21.214947	40.0	12.949649	2.6797369	31.06283	5.935263	48000	2.6702882e-08	52.721134	-0.031060548	-6.227234	0.88654715	0.00920232	0.13625	79.0	186.20881628990173
12	28.901405	3.1763642	35.75751	19.801182	40.0	13.353147	2.1744845	30.20978	8.199007	52000	2.861023e-09	47.302063	-0.029041441	-4.7869263	0.8812067	0.006836228	0.12275001	79.0	201.5287685394287
13	29.899937	2.7520707	36.563435	22.604374	40.0	13.186061	2.43749	31.27952	7.45167	56000	-4.768372e-09	53.019173	-0.03196589	-4.7816925	0.8624852	0.012363851	0.14175001	79.0	216.84236431121826
