Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	26.724758	4.601739	36.06555	15.755532	40.0	0.03067413	0.017647322	0.08016409	-0.014782198	1000	1.9073487e-07	191.98761	-0.030142851	-141.7757	0.91893846	0.0076534795	0.127	79.0	66.68244409561157
1	28.1092	2.8659732	33.632923	21.341408	40.0	11.558646	1.4382477	14.284728	7.0912714	2000	-1.525879e-08	56.109085	-0.050237123	-12.223965	0.9086028	0.011756429	0.197	79.0	133.39973711967468
2	28.517925	2.4944642	35.847584	22.69598	40.0	12.910013	1.8257451	17.37573	6.870931	3000	-2.6702882e-08	58.883358	-0.043542527	-13.917259	0.90979004	0.0022491696	0.189	79.0	200.56978797912598
3	28.374104	4.4369955	36.25559	17.230034	40.0	12.618752	2.1807852	19.131058	7.646222	4000	-2.2888184e-08	50.16888	-0.04383952	-8.9815445	0.8890029	0.0058515365	0.183	79.0	267.91860604286194
4	28.286533	2.537262	33.61662	22.147776	40.0	13.85238	3.480006	24.525522	5.4414234	5000	-4.9591065e-08	48.520653	-0.055219624	-10.604298	0.88773245	0.0122943325	0.214	79.0	334.22135400772095
5	28.645292	4.0272684	35.605827	19.502064	40.0	12.65827	2.7042735	22.298468	6.2817163	6000	1.1444092e-08	53.065605	-0.049983494	-12.599796	0.879939	0.0139236115	0.203	79.0	400.52950501441956
6	27.382402	3.0433424	32.693703	21.423841	40.0	13.499983	2.869579	25.075487	6.443557	7000	1.1444092e-08	49.504776	-0.05318639	-7.939289	0.8781153	0.0068436745	0.227	79.0	467.1413459777832
7	28.141123	3.0325935	34.804356	23.459064	40.0	13.4692335	2.6075556	21.242153	7.135133	8000	1.525879e-08	48.98762	-0.055704493	-10.12244	0.87281644	0.009617502	0.2	79.0	532.7649831771851
8	28.476469	3.4728367	36.799725	19.001095	40.0	12.367016	2.8162427	21.270033	5.683277	9000	3.051758e-08	49.471672	-0.051782753	-20.248543	0.8703715	0.011235923	0.228	79.0	599.2276318073273
9	27.515625	3.2639859	34.392307	20.281946	40.0	12.374914	3.2120016	24.195095	3.4511786	10000	-1.3351441e-08	54.93581	-0.016480677	-17.290997	0.8866003	0.017601665	0.18	9.0	637.7075710296631
10	28.305458	3.4954097	33.40536	20.684916	40.0	12.881766	3.1225958	24.121698	2.6126506	11000	-1.525879e-08	57.439995	-0.010977315	-17.670017	0.88760495	0.017073171	0.129	7.0	675.4456610679626
11	28.15045	3.1202867	35.231346	20.897951	40.0	12.544126	3.3490915	25.774363	3.2175748	12000	-3.8146974e-09	56.73243	-0.017998386	-16.339535	0.88734716	0.017598366	0.161	11.0	714.6287739276886
