Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	28.574495	3.3444679	37.098953	18.499128	40.0	0.040431388	0.0034208319	0.04561536	0.021122873	4000	-2.5177002e-07	0.472152	-0.004097782	-0.4542167	0.9189386	0.005551158	0.044000003	79.0	17.581390857696533
1	27.580286	3.7178383	35.79795	18.012997	40.0	0.7093267	0.0023210552	0.7246468	0.70728844	8000	1.6059877e-06	0.020819826	-0.0058923494	-0.019281749	0.9123576	0.0059674764	0.047250003	79.0	32.97313833236694
2	28.226614	2.9402995	34.581562	19.620216	40.0	0.70038867	0.13164838	0.98827434	0.34778506	12000	-1.851082e-06	0.002403654	-0.028725639	-0.0016570548	0.9236944	0.0154658	0.22225001	18.0	46.815632581710815
3	28.41463	3.2523313	36.17111	20.536703	40.0	0.7091017	0.12681076	0.9568956	0.32599634	16000	-4.299164e-06	0.0015517534	-0.031974033	-0.0009228714	0.92746943	0.015056449	0.17725001	11.0	60.46451544761658
4	28.515703	3.473275	36.46173	17.295322	40.0	0.7128915	0.13294002	0.9651831	0.29968128	20000	9.784699e-07	0.0013829205	-0.030218458	-0.0007922405	0.9279814	0.015458567	0.18750001	8.0	74.18689274787903
5	27.882463	3.2161813	35.134834	15.49514	40.0	0.7005005	0.13908568	0.99260676	0.28698808	24000	2.334595e-06	0.0012182702	-0.026961336	-0.00069490453	0.92745966	0.017181007	0.2275	5.0	87.74713802337646
6	28.290295	3.5090423	35.69837	18.986338	40.0	0.70621145	0.14243834	0.9775431	0.30340695	28000	1.5368462e-06	0.0010822695	-0.03201342	-0.00051668566	0.92673063	0.016795823	0.21200001	5.0	101.57040405273438
7	28.374832	2.7620075	33.917465	20.482765	40.0	0.7106518	0.13144428	0.959421	0.3514437	32000	2.351761e-06	0.0009966901	-0.030822687	-0.0004522839	0.9257493	0.015671212	0.23925	4.0	115.51471853256226
8	28.467937	2.5129864	34.878433	22.64162	40.0	0.71103555	0.1290503	0.9893064	0.32568204	36000	2.5758745e-06	0.00090816227	-0.029100105	-0.00041075744	0.92497694	0.019282758	0.246	4.0	129.1161777973175
9	28.310986	2.503342	33.42006	21.026516	40.0	0.7085276	0.13056272	0.9896978	0.33048773	40000	8.344651e-08	0.0009830589	-0.033383064	-0.00046552357	0.92444605	0.020515257	0.22275001	3.0	142.87371492385864
10	28.65599	2.8984	35.5262	22.3673	40.0	0.71547306	0.12533242	0.9856468	0.3295567	44000	-8.220673e-07	0.00087355246	-0.026937278	-0.0004161803	0.9240558	0.026119886	0.259	3.0	156.71910190582275
11	28.370132	2.5229962	34.72814	21.931019	40.0	0.70965344	0.12703198	0.99692756	0.34516308	48000	-1.7642975e-08	0.00087092083	-0.0332388	-0.0004140474	0.923373	0.02130935	0.293	4.0	170.6772484779358
12	29.233282	2.379955	35.104145	23.4094	40.0	0.7295471	0.12338167	0.98413825	0.349885	52000	-7.439614e-06	0.0008575278	-0.034679644	-0.00038819513	0.92266124	0.015143099	0.1835	3.0	184.37471389770508
13	28.99158	2.8135066	35.90766	20.071976	40.0	0.7252938	0.12825623	0.9927061	0.33128226	56000	-9.315491e-06	0.00076322875	-0.027800784	-0.00037151994	0.92227143	0.015713109	0.1675	2.0	198.05607056617737
14	28.85034	2.7428029	37.641098	22.065746	40.0	0.72292197	0.13051529	0.99284863	0.34198272	60000	-8.419037e-06	0.00077182584	-0.033756472	-0.00035519066	0.9220893	0.02087315	0.298	3.0	211.67421460151672
15	29.018272	2.7253234	35.496563	23.59818	40.0	0.7244711	0.13320388	0.9848825	0.34153134	64000	3.0994417e-07	0.0008203665	-0.0234765	-0.0004207808	0.92170316	0.015517937	0.16800001	2.0	225.30536913871765
16	28.813366	2.1700225	33.212296	21.974173	40.0	0.71902573	0.1263212	0.9902459	0.29829156	68000	1.7544748e-05	0.0007330074	-0.026392438	-0.00035106516	0.9212896	0.022417316	0.29450002	3.0	238.85718774795532
17	29.91145	2.6689796	36.05112	20.877827	40.0	0.74667126	0.1250082	0.97818094	0.3301524	72000	-2.6130679e-06	0.0007760459	-0.023750372	-0.00039842806	0.9205805	0.016151195	0.18900001	2.0	252.63411688804626
18	29.511652	2.8755658	36.228374	20.630606	40.0	0.74006784	0.12443801	0.9788663	0.3517674	76000	1.5425683e-05	0.00069048675	-0.02500463	-0.00033071148	0.920178	0.015632931	0.21675001	2.0	266.2898647785187
19	29.050644	2.173914	34.28739	23.05683	40.0	0.72792083	0.12370767	1.0007155	0.3269869	80000	-5.3367617e-06	0.0006779317	-0.026020214	-0.00032968604	0.91986334	0.021817187	0.21550001	2.0	280.02076840400696
20	29.894732	2.3223956	35.74373	22.353811	40.0	0.7449709	0.11983384	0.98469377	0.29358524	84000	8.2597735e-06	0.00069560355	-0.029575465	-0.00035174325	0.91943496	0.018255241	0.187	2.0	293.6359465122223
21	28.846914	2.499693	36.894463	23.73778	40.0	0.721929	0.12312391	0.97439945	0.32546854	88000	-4.533768e-06	0.0006598809	-0.025720073	-0.00033389512	0.91902494	0.019433238	0.24975002	2.0	307.4102294445038
