Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	27.398462	3.2980998	33.448387	18.743916	40.0	-0.09542247	0.0027608392	-0.09318932	-0.11200218	2000	1.6462803e-07	201.89392	-0.011441642	-156.8435	0.91893786	0.008992111	0.061	79.0	162.12962794303894
1	28.213707	3.5329194	34.116817	18.243797	40.0	12.735189	0.23574889	12.995939	11.327496	4000	-3.6556273e-08	50.729465	-0.0030820046	-0.41845703	0.9025765	-0.0032828425	0.0175	79.0	325.8360970020294
2	27.63512	2.8526454	34.801407	22.491396	40.0	13.011506	0.29513443	13.264981	11.667636	6000	2.1321698e-08	49.483376	-0.009503685	-2.1919136	0.90659773	0.006794895	0.055	79.0	491.1039209365845
3	27.958145	3.4015138	35.006763	18.427845	40.0	12.69453	0.52452105	13.267877	11.945377	8000	1.090765e-08	50.050564	-0.0096597895	-4.4166374	0.91972834	0.001527337	0.051	79.0	675.685643196106
4	28.217766	3.482042	35.620712	20.056597	40.0	12.734272	0.9251058	15.169793	11.528742	10000	1.0415912e-08	49.86686	-0.0153699275	-5.9960785	0.9126608	0.002645051	0.0785	79.0	841.1733870506287
5	29.165545	3.1370535	36.22613	23.129114	40.0	12.918757	1.4155848	19.06207	10.103322	12000	-1.4685094e-08	52.73469	-0.008755199	-6.4503403	0.90643895	0.0025459514	0.06	79.0	1010.3722350597382
6	28.204706	2.84641	33.28592	20.344149	40.0	13.317899	2.5766459	25.62392	8.918968	14000	2.5250017e-08	47.952957	-0.0092082685	-2.7284203	0.9049216	0.009938232	0.0535	79.0	1175.4793770313263
7	28.130527	3.7710867	36.06014	15.587021	40.0	12.839136	2.1317255	25.739626	12.395525	16000	-2.7306377e-09	48.9037	-0.0016337594	-0.5104866	0.8938111	0.0031708006	0.016	79.0	1347.430827140808
8	27.770332	3.2835503	34.512672	19.48004	40.0	12.808295	2.226638	26.22006	12.303164	18000	1.1678785e-08	44.04836	-0.0053932355	-0.72104263	0.89704925	0.0051238956	0.036	79.0	1583.4723961353302
9	28.369165	3.941518	34.800285	17.460247	40.0	12.64006	2.2581549	26.19755	12.016982	20000	-9.607524e-09	48.046734	-0.0030546896	-1.5090828	0.88192725	0.004423768	0.0225	79.0	1855.7437510490417
10	28.241676	3.590353	34.357513	15.267616	40.0	12.824051	2.4067574	27.203432	12.161508	22000	-7.2829427e-09	46.026855	-0.0036267592	-1.3764534	0.91305083	0.0030973281	0.023	79.0	2125.029788017273
11	29.246502	2.7657447	35.897568	20.797613	40.0	12.912111	2.4615052	27.403034	12.086612	24000	2.4065375e-08	48.152195	-0.0018919354	-2.7107124	0.9337469	0.0020928474	0.0145	79.0	2376.832957983017
12	28.541899	3.3835733	34.966656	20.466055	40.0	13.311494	2.7575889	29.690825	11.934009	26000	-1.0065734e-08	45.08135	-0.0032096594	-12.386238	0.91953534	0.001194927	0.021	79.0	2560.2815980911255
13	27.463799	2.949964	33.884144	20.484884	40.0	12.221506	4.067439	27.429201	2.0874033	28000	8.225441e-09	35.404785	-0.02980883	-15.359087	0.90758246	0.0061696563	0.14	79.0	2735.0078222751617
14	27.494358	3.2368543	33.45493	18.212017	40.0	12.445097	4.96046	27.794346	4.124149	30000	-1.927279e-08	36.977886	-0.035980552	-22.560123	0.90002346	0.01152935	0.1525	79.0	2908.049639940262
15	27.940462	4.0073085	35.522762	17.16199	40.0	12.377073	5.388609	28.79414	1.9949055	32000	2.7343632e-09	32.6215	-0.02043375	-23.702068	0.8888132	0.01721895	0.1945	10.0	3004.6792409420013
