Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	27.78119	3.954434	37.097225	16.345211	40.0	0.002068725	0.016050426	0.056876116	-0.03827449	4000	-4.196167e-08	207.02522	-0.006767826	-153.04485	0.9189385	0.004916222	0.0205	79.0	5.535190105438232
1	27.8771	3.546836	35.61731	17.50607	40.0	12.425243	1.5795355	17.658623	8.045387	8000	2.2888184e-08	142.3229	-0.008738892	-103.743866	0.9086513	0.0030938445	0.0465	79.0	10.669451475143433
2	29.081963	3.1982052	36.536423	20.044416	40.0	22.81797	2.8960335	31.169596	13.8568535	12000	2.4795533e-08	110.06829	-0.012435263	-73.21588	0.89802164	0.0048049823	0.05925	79.0	15.635165691375732
3	28.232655	3.1810067	35.296593	19.579185	40.0	31.304697	3.667982	42.321815	19.100214	16000	7.2479246e-08	79.54637	-0.013373986	-45.643383	0.877864	0.006966048	0.0715	79.0	20.563977479934692
4	28.557198	3.0316904	35.01711	20.447975	40.0	37.472404	4.239315	50.064438	25.74424	20000	-3.8146972e-08	69.69251	-0.014991777	-37.95443	0.87882555	0.008334393	0.07475	79.0	25.782016038894653
5	29.289766	2.9754655	35.23116	20.022552	40.0	44.341705	4.962567	57.323322	31.136251	24000	9.1552735e-08	63.80794	-0.016132323	-29.892563	0.8700915	0.0069949366	0.08875	79.0	30.878380298614502
6	28.833227	3.045844	35.247643	21.97146	40.0	50.03622	4.6031575	65.264694	36.383316	28000	4.386902e-08	46.296787	-0.016684275	-18.766912	0.86912864	0.0070543047	0.10575	79.0	35.58678317070007
7	29.403957	2.9748566	35.867176	20.436306	40.0	54.364777	4.7518897	68.50622	39.756405	32000	2.861023e-09	51.740993	-0.017131554	-19.644512	0.8620663	0.009802495	0.0975	79.0	40.30017113685608
8	29.182766	2.4879632	35.830894	22.435555	40.0	58.937656	4.327047	71.07611	44.013874	36000	-1.8119811e-08	39.709133	-0.01293469	-15.487677	0.8445133	0.0061294264	0.064	79.0	45.20704245567322
9	29.49792	2.5937312	35.209488	23.565691	40.0	61.717766	4.193417	71.961494	49.7409	40000	4.1007997e-08	38.431095	-0.01363894	-14.937305	0.8468905	0.005127975	0.0755	79.0	50.0221586227417
