Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	27.585566	3.2511272	34.692005	18.304838	40.0	-0.19893491	0.010935309	-0.16712421	-0.22823039	4000	4.931353e-07	0.81018734	-0.01597983	-0.78566253	0.91893846	0.014515282	0.13024999	79.0	2.3362538814544678
1	28.727383	3.0564554	35.489216	19.150316	40.0	0.70512056	0.060206715	0.8835223	0.55976194	8000	9.313226e-09	0.020222152	-0.014074894	-0.011787814	0.93704426	0.008707235	0.126	79.0	5.602596044540405
2	29.3432	2.9881248	35.659096	21.638748	40.0	0.72344726	0.05744586	0.85409164	0.5489773	12000	-4.656613e-10	0.009240668	-0.020164652	-0.007288342	0.9521907	0.015064075	0.18825	28.0	7.443413972854614
3	30.152378	2.5200396	36.233025	22.972128	40.0	0.74902123	0.09738714	0.94917804	0.3888751	16000	3.7252903e-09	0.0019688467	-0.046672553	-0.0009365538	0.9515735	0.015473318	0.19475	20.0	9.1264009475708
4	31.05558	1.9700865	36.23873	24.833609	40.0	0.7732095	0.11018444	0.9716642	0.28613654	20000	6.519258e-09	0.0010681576	-0.06784637	-0.00015064605	0.94706774	0.015845934	0.256	19.0	10.667348861694336
5	31.498741	1.7312734	35.624268	27.252028	40.0	0.7865934	0.09991292	0.9678391	0.37316734	24000	-9.313226e-09	0.0009904405	-0.06258902	-8.682755e-05	0.93924767	0.015507386	0.19675	15.0	12.235919952392578
6	32.16991	1.967689	38.1232	26.975315	40.0	0.80176014	0.097915225	0.9738456	0.34665674	28000	-3.7252903e-09	0.0009067274	-0.06664073	-9.675433e-05	0.93026984	0.016344575	0.22825	15.0	13.849800825119019
7	32.466145	1.7869742	37.130444	28.752209	40.0	0.81342155	0.09199019	0.9785899	0.43277514	32000	1.1641532e-08	0.0007901427	-0.06599045	-9.9763434e-05	0.92132616	0.015720464	0.21775	15.0	15.583961009979248
8	33.02555	1.7052252	37.45632	29.715132	40.0	0.82313734	0.08785086	0.973435	0.4217531	36000	-2.3283064e-09	0.00072811183	-0.06413628	-6.392582e-05	0.9121412	0.015228985	0.2085	14.0	17.225770950317383
9	33.46761	1.8209887	37.85426	29.862576	40.0	0.8349524	0.082737416	0.978658	0.41072395	40000	-6.519258e-09	0.00068899547	-0.06446029	-5.1922223e-05	0.90295064	0.01577454	0.24425	18.0	18.74857783317566
