Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	28.308727	3.5779994	35.632893	17.144663	40.0	0.082024224	0.026871653	0.14732185	0.007936932	4000	4.839897e-08	0.41120675	-0.012592383	-0.39099264	0.9189385	0.007220152	0.07825	79.0	4.810179948806763
1	29.65278	2.7931793	35.84052	20.284529	40.0	0.7083002	0.059847392	0.90423405	0.54135835	8000	-2.0980835e-08	0.021736603	-0.01386151	-0.013467639	0.93056166	0.004922752	0.1045	79.0	9.267226934432983
2	29.44881	2.493756	34.26626	22.859087	40.0	0.746065	0.061464548	0.8803162	0.46068648	12000	2.384186e-10	0.010367837	-0.020104075	-0.008338719	0.93233293	0.011121416	0.1345	79.0	13.264641523361206
3	30.430788	2.83659	36.382465	22.410809	40.0	0.7569568	0.09968373	0.9413526	0.35323733	16000	-1.9192695e-08	0.0024788997	-0.04031726	-0.0015139586	0.93947405	0.01664163	0.212	18.0	16.857656002044678
4	30.872217	2.4162471	37.811962	24.316238	40.0	0.77032983	0.11741472	0.9762864	0.3193702	20000	4.172325e-09	0.0010306893	-0.025626479	-0.00019425456	0.93167794	0.016267158	0.15925	4.0	20.40649390220642
5	30.866684	2.146509	37.116844	25.190617	40.0	0.7704451	0.107407436	0.98027587	0.3570708	24000	-6.198883e-09	0.0009370191	-0.06657021	-0.00014460692	0.9294543	0.015458327	0.215	14.0	24.140244245529175
6	31.385876	2.0146627	37.031322	26.036217	40.0	0.7857797	0.10227476	0.9701267	0.41870496	28000	1.2874604e-08	0.00083801604	-0.030396737	-0.00011546706	0.9193401	0.015450625	0.194	5.0	27.999088048934937
7	31.667658	2.0485342	37.46848	27.310148	40.0	0.79075867	0.10153704	0.9722918	0.41078883	32000	1.1444092e-08	0.00083802204	-0.062694095	-8.533691e-05	0.91551816	0.016508996	0.19875	11.0	31.651493310928345
8	32.348232	2.0513175	38.428772	28.543089	40.0	0.8078532	0.09649148	0.98328274	0.41864794	36000	4.768372e-10	0.0007352564	-0.0636327	-9.1066584e-05	0.9060716	0.015761346	0.21125	12.0	35.31685662269592
9	32.488037	1.8474442	37.827602	28.674374	40.0	0.8106411	0.09222928	0.9776176	0.4066156	40000	1.4781952e-08	0.00072593975	-0.02611168	-7.065403e-05	0.89720714	0.017648	0.197	4.0	38.93185234069824
10	32.908432	1.6337637	37.074272	29.421213	40.0	0.8226788	0.08706056	0.97844386	0.39795458	44000	4.7683715e-09	0.0006628917	-0.073418185	-6.575632e-05	0.89451027	0.015850548	0.297	16.0	42.70185136795044
11	32.862625	1.7260464	37.23994	28.052103	40.0	0.8199984	0.08912131	0.98241764	0.3719935	48000	1.4305115e-09	0.00066331006	-0.060151197	-5.47776e-05	0.8829556	0.016548734	0.20775	12.0	46.58294224739075
12	33.452118	1.6817513	36.826702	30.040579	40.0	0.8342489	0.08385815	0.98353344	0.3789756	52000	-2.0980835e-08	0.00063136127	-0.0573173	-7.3643634e-05	0.8752008	0.016358687	0.1955	12.0	50.245667695999146
13	33.78668	1.4574933	37.645622	31.135305	40.0	0.84482163	0.07608018	0.98357576	0.44612673	56000	1.9073487e-09	0.00059616007	-0.06237195	-6.291777e-05	0.86793125	0.015161587	0.18725	12.0	53.929038763046265
14	34.318527	1.5587081	37.750797	30.6614	40.0	0.8559269	0.07724205	0.98365647	0.4008403	60000	2.6226044e-09	0.0005593624	-0.056243904	-6.873504e-05	0.86067903	0.015816476	0.1925	12.0	57.55499315261841
15	34.507565	1.3791263	37.98081	31.938164	40.0	0.86226076	0.07250334	0.99148834	0.4234778	64000	-5.722046e-09	0.00051571405	-0.05537593	-5.1277224e-05	0.8532033	0.01668835	0.20275	12.0	61.21934700012207
16	34.507458	1.3540518	37.720676	31.788977	40.0	0.8620278	0.075536124	0.983646	0.40632126	68000	1.4305114e-08	0.0005188769	-0.05987757	-4.0152227e-05	0.84579694	0.015131022	0.19225	14.0	64.85190486907959
17	35.01971	1.5371302	38.08557	31.67559	40.0	0.87379533	0.06902313	0.9803304	0.44992116	72000	0.0	0.0005006406	-0.04884808	-4.3307664e-05	0.8369231	0.015735213	0.14	12.0	68.47554278373718
18	35.158592	1.1954979	38.520332	32.447704	40.0	0.87804866	0.06829047	0.98698467	0.39729106	76000	-1.1444092e-08	0.00047382285	-0.058363896	-4.5347842e-05	0.8292718	0.016093342	0.22075	16.0	72.1871235370636
19	35.114384	1.2471894	38.671703	31.955357	40.0	0.877589	0.07249303	0.98870957	0.4091056	80000	1.3828277e-08	0.00047178025	-0.052235942	-3.9577484e-05	0.82070535	0.015238093	0.1945	16.0	75.98034620285034
20	35.6075	1.2224778	38.735294	32.233746	40.0	0.8881326	0.06895418	0.9804169	0.4466546	84000	9.536744e-10	0.00041600433	-0.05014623	-3.0080642e-05	0.8128373	0.016315568	0.16375	15.0	79.65725755691528
