Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	27.493824	3.929738	34.871185	19.466566	40.0	-0.14348148	0.016057441	-0.09599747	-0.19478902	1000	1.87397e-07	204.1259	-0.00942363	-126.33651	0.918938	-0.0017182042	0.056	79.0	2.3153979778289795
1	27.887291	3.6249273	34.557648	20.063078	40.0	7.3855824	0.9174304	9.572613	4.834398	2000	-2.6762486e-08	82.73848	-0.021956062	-32.21248	0.9035257	0.010099065	0.148	79.0	4.493613004684448
2	27.425888	2.708457	32.110508	21.964874	40.0	12.6579895	1.5088627	17.114994	8.600796	3000	-5.364418e-10	56.366413	-0.010711859	-6.1943703	0.89580077	0.004535424	0.05	79.0	6.307764053344727
3	27.427734	3.619758	35.619324	21.160791	40.0	12.762191	1.8505794	17.225931	7.981737	4000	3.0696392e-09	55.61588	-0.0055261874	-4.4010124	0.8776217	0.015439549	0.079	7.0	7.818436861038208
4	28.373358	5.40616	36.510395	17.381788	40.0	12.558116	1.6510936	16.304773	8.636443	5000	-1.4744699e-08	58.766777	-0.014344192	-9.781166	0.8775956	0.0109353615	0.092	79.0	9.648996829986572
5	27.549595	3.4231372	33.49814	19.997114	40.0	12.907808	1.7272671	17.89586	9.297158	6000	-7.0035457e-09	46.049194	-0.0037701728	-7.8464127	0.86411256	0.01596603	0.185	9.0	11.191272020339966
6	27.53481	2.157625	32.840054	23.226927	40.0	12.387802	2.8353963	20.644127	8.652134	7000	3.7141143e-09	38.687218	-0.012966807	-1.1058998	0.86438507	0.0048531494	0.059	79.0	13.033597946166992
7	27.763323	3.1716082	34.656403	20.448524	40.0	13.123839	3.354222	22.046041	7.418553	8000	-1.7359852e-09	41.531307	-0.015419041	-2.692501	0.8669477	0.0055058636	0.083	79.0	14.89980697631836
8	28.116749	3.4091828	33.45084	22.206419	40.0	13.274625	3.8713825	23.29938	6.498715	9000	-1.249928e-08	57.178234	-0.014353377	-8.63232	0.84394604	0.0049765306	0.072	79.0	16.727617025375366
9	28.176525	2.5097935	33.00905	22.386923	40.0	13.041899	1.7921443	17.974882	9.829273	10000	3.386475e-08	45.883945	-0.015057941	-3.000496	0.83692217	0.001110979	0.081	79.0	18.585206031799316
10	30.043968	3.0974517	36.66162	25.389477	40.0	13.257283	2.5899987	19.639748	8.2613325	11000	-1.038611e-08	47.76632	-0.0137514165	-4.6936073	0.83620006	0.011920289	0.089	79.0	20.44073796272278
11	28.449583	4.023308	33.56468	17.873735	40.0	13.51318	3.993322	24.435244	7.6577325	12000	-1.1757016e-08	41.078453	-0.01469247	-2.6112976	0.8355669	0.0095838355	0.068	79.0	22.297736883163452
12	28.784504	2.6583352	33.694134	22.640213	40.0	13.879559	3.5788307	23.271145	7.8341093	13000	-2.6658178e-08	45.91765	-0.016382242	-2.50391	0.85708594	0.013090491	0.098	79.0	24.092622995376587
13	30.319693	2.6762064	34.152023	23.298992	40.0	13.375559	3.0761402	22.561716	8.161062	14000	2.2500752e-09	50.459145	-0.012304593	-3.880352	0.8438508	0.0055977968	0.049	79.0	25.975677967071533
14	28.514137	2.5479214	32.854153	21.513882	40.0	12.998824	3.5928009	25.015505	7.9901614	15000	-1.2233853e-08	42.354565	-0.0142661715	-1.4938698	0.85148597	0.010154017	0.059	79.0	27.78884983062744
