Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	26.988136	2.9745698	32.45192	19.129427	40.0	-0.18346466	0.025821164	-0.12495159	-0.2460267	1000	-4.6253206e-08	194.65651	-0.014618417	-135.86465	0.918938	0.011954091	0.124	79.0	2.0220510959625244
1	26.982573	2.9460213	31.129963	19.244923	40.0	8.29648	0.13408466	8.534725	7.8108244	2000	9.23872e-09	64.291145	-0.0056129275	-16.465195	0.9115238	0.0063763917	0.06	79.0	4.091686010360718
2	28.091759	3.390892	33.95631	22.774904	40.0	11.618089	0.08439446	11.72492	11.111776	3000	-3.3378602e-09	52.55979	-0.011659966	-2.1087303	0.9155884	0.0021812706	0.097	79.0	5.905394077301025
3	28.76335	3.071243	34.38911	21.143099	40.0	12.849441	0.079571694	12.936828	12.38218	4000	5.6102873e-09	54.922417	-0.011957396	-0.4373665	0.92134076	0.015294005	0.136	27.0	7.418487071990967
4	29.029139	3.118637	36.060734	22.63812	40.0	13.352701	0.037151564	13.404541	13.109137	5000	-3.8444994e-09	59.03143	-0.0071080057	-0.020431519	0.9285416	0.003985024	0.073	79.0	9.204461097717285
5	28.685675	2.4784348	33.595314	24.13478	40.0	13.394038	0.03933732	13.44153	13.188749	6000	1.3776123e-08	52.655582	-0.008557979	-0.040870667	0.93676186	0.006627949	0.067	79.0	11.01029109954834
6	28.700178	3.4843392	33.662132	19.550886	40.0	13.489513	0.026241492	13.524027	13.365628	7000	-2.5182962e-09	52.14054	-0.008112407	-0.019989014	0.9527456	0.004650466	0.069	79.0	12.890079975128174
7	28.954544	1.9357016	33.580902	24.942831	40.0	13.411407	0.028078912	13.442243	13.153491	8000	8.389354e-09	52.222557	-0.012162995	-0.018604279	0.95414317	0.008272525	0.1	79.0	14.689645051956177
8	28.172329	3.7034764	35.923363	17.832474	40.0	13.364941	0.021000179	13.39713	13.202491	9000	-1.6722828e-08	51.40693	-0.0019788658	-0.14482117	0.9549536	0.016881257	0.142	7.0	16.109606981277466
9	29.48872	2.6964343	35.125553	24.405819	40.0	12.987506	0.021748105	13.012543	12.842867	10000	7.0035457e-09	56.02648	-0.010332893	-0.7132759	0.95442057	0.0035272266	0.101	79.0	17.917284965515137
10	29.846088	3.197155	35.65433	23.091831	40.0	13.848431	0.019897541	13.870217	13.711286	11000	-1.503527e-08	56.70889	-0.01020424	-0.020759583	0.9324497	0.0025561966	0.08	79.0	19.72081422805786
