Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	27.585566	3.2511272	34.692005	18.304838	40.0	-0.19893491	0.010935309	-0.16712421	-0.22823039	4000	-1.3341196e-07	205.40634	-0.0044028414	-19.845753	0.91893846	0.0041387556	0.0375	79.0	3.054558038711548
1	28.261969	3.2482483	35.507732	18.959915	40.0	0.63498855	0.06903127	0.8210548	0.44354165	8000	-5.2154064e-08	198.63815	-0.0047029303	-36.139225	0.9159452	0.0035965412	0.03375	79.0	5.861598014831543
2	28.386309	3.7256598	35.166336	19.784983	40.0	2.1836553	0.2820548	3.0367703	1.5543172	12000	0.0	165.04495	-0.005418379	-81.67351	0.9179192	0.004505368	0.032750003	79.0	7.576591968536377
3	28.721329	3.2195837	35.705284	18.424925	40.0	7.339553	0.9842086	10.15643	4.575018	16000	-3.7252903e-08	88.535385	-0.0057849577	-32.367893	0.9187866	0.00478168	0.0435	79.0	9.300909996032715
4	29.024569	2.89096	34.843323	20.392715	40.0	12.861065	1.6536837	17.641294	8.299356	20000	6.519258e-09	57.13851	-0.0044732173	-1.2411451	0.92103225	0.0053814054	0.0375	79.0	11.136661052703857
5	28.698965	2.8480947	34.63719	21.331583	40.0	13.90089	1.6962241	18.632645	8.980413	24000	-8.381903e-09	60.246246	-0.0020388109	-2.1016989	0.9191527	0.0018731642	0.0075000003	79.0	13.077612161636353
6	28.952175	3.067829	36.824127	18.579275	40.0	12.891672	1.3138278	16.729313	9.406425	28000	2.2351742e-08	56.91348	-0.004286032	-1.653656	0.92251784	0.0057790014	0.02725	79.0	14.88748812675476
7	29.046656	3.0111327	34.190975	18.425753	40.0	13.434469	1.1501377	16.866331	10.112853	32000	1.6298145e-08	57.48504	-0.0055353167	-2.2928944	0.9251812	0.0067817923	0.04425	79.0	16.630448818206787
8	29.51291	3.331177	37.355408	18.468348	40.0	13.38742	0.858035	15.757299	11.333981	36000	-7.450581e-09	58.773224	-0.006174482	-3.1592026	0.93773925	0.0041182544	0.038	79.0	18.363685846328735
9	29.735018	2.667563	35.594643	20.91647	40.0	13.637578	0.97982407	16.24508	11.091091	40000	-2.7474016e-08	55.585197	-0.0071464637	-1.017375	0.9328055	0.0034418155	0.0435	79.0	20.076912879943848
