RewardPredictor(
  (image_encoder): ImageEncoder(
    (conv_layers): Sequential(
      (0): Conv2d(3, 4, kernel_size=(3, 3), stride=(2, 2))
      (1): ReLU()
      (2): Conv2d(4, 8, kernel_size=(3, 3), stride=(2, 2))
      (3): ReLU()
      (4): Conv2d(8, 16, kernel_size=(3, 3), stride=(2, 2))
      (5): ReLU()
      (6): Conv2d(16, 32, kernel_size=(3, 3), stride=(2, 2))
      (7): ReLU()
      (8): Conv2d(32, 64, kernel_size=(3, 3), stride=(2, 2))
      (9): ReLU()
    )
    (projection): Linear(in_features=64, out_features=64, bias=True)
  )
  (lstm_predictor): LSTMPredictor(
    (lstm): LSTM(64, 64, batch_first=True)
    (mlpk): ModuleDict(
      (agent_x): MLP(
        (mlp): Sequential(
          (0): Linear(in_features=64, out_features=32, bias=True)
          (1): ReLU()
          (2): Linear(in_features=32, out_features=32, bias=True)
          (3): ReLU()
          (4): Linear(in_features=32, out_features=1, bias=True)
        )
      )
      (agent_y): MLP(
        (mlp): Sequential(
          (0): Linear(in_features=64, out_features=32, bias=True)
          (1): ReLU()
          (2): Linear(in_features=32, out_features=32, bias=True)
          (3): ReLU()
          (4): Linear(in_features=32, out_features=1, bias=True)
        )
      )
      (target_x): MLP(
        (mlp): Sequential(
          (0): Linear(in_features=64, out_features=32, bias=True)
          (1): ReLU()
          (2): Linear(in_features=32, out_features=32, bias=True)
          (3): ReLU()
          (4): Linear(in_features=32, out_features=1, bias=True)
        )
      )
      (target_y): MLP(
        (mlp): Sequential(
          (0): Linear(in_features=64, out_features=32, bias=True)
          (1): ReLU()
          (2): Linear(in_features=32, out_features=32, bias=True)
          (3): ReLU()
          (4): Linear(in_features=32, out_features=1, bias=True)
        )
      )
    )
  )
)
[0.868s] step=0 loss=0.21477
[0.760s] step=1 loss=0.22636
[0.686s] step=2 loss=0.22572
[0.671s] step=3 loss=0.21851
[0.666s] step=4 loss=0.21521
[0.673s] step=5 loss=0.17029
[0.676s] step=6 loss=0.17320
[0.670s] step=7 loss=0.18673
[0.685s] step=8 loss=0.15861
[0.682s] step=9 loss=0.15291
[0.667s] step=10 loss=0.16244
[0.667s] step=11 loss=0.13750
[0.673s] step=12 loss=0.11617
[0.671s] step=13 loss=0.11265
[0.682s] step=14 loss=0.11789
[0.664s] step=15 loss=0.08740
[0.671s] step=16 loss=0.09880
[0.677s] step=17 loss=0.08806
[0.674s] step=18 loss=0.08119
[0.670s] step=19 loss=0.08157
[0.680s] step=20 loss=0.06978
[0.686s] step=21 loss=0.05778
[0.678s] step=22 loss=0.06087
[0.661s] step=23 loss=0.05508
[0.669s] step=24 loss=0.05768
[0.676s] step=25 loss=0.05406
[0.664s] step=26 loss=0.05932
[0.662s] step=27 loss=0.05642
[0.674s] step=28 loss=0.05890
[0.677s] step=29 loss=0.05730
[0.669s] step=30 loss=0.05654
[0.696s] step=31 loss=0.05868
[0.669s] step=32 loss=0.05758
[0.665s] step=33 loss=0.05498
[0.660s] step=34 loss=0.05654
[0.692s] step=35 loss=0.05802
[0.683s] step=36 loss=0.05361
[0.666s] step=37 loss=0.05694
[0.681s] step=38 loss=0.05744
[0.689s] step=39 loss=0.05389
[0.694s] step=40 loss=0.05571
[0.675s] step=41 loss=0.05356
[0.674s] step=42 loss=0.05428
[0.681s] step=43 loss=0.05714
[0.685s] step=44 loss=0.05614
[0.689s] step=45 loss=0.05063
[0.678s] step=46 loss=0.05661
[0.669s] step=47 loss=0.05656
[0.652s] step=48 loss=0.05386
[0.661s] step=49 loss=0.05252
[0.671s] step=50 loss=0.04802
[0.680s] step=51 loss=0.05170
[0.666s] step=52 loss=0.05371
[0.668s] step=53 loss=0.05573
[0.695s] step=54 loss=0.05346
[0.670s] step=55 loss=0.05326
[0.672s] step=56 loss=0.05433
[0.670s] step=57 loss=0.05208
[0.685s] step=58 loss=0.05168
[0.673s] step=59 loss=0.04718
[0.672s] step=60 loss=0.05220
[0.667s] step=61 loss=0.04990
[0.686s] step=62 loss=0.05332
[0.668s] step=63 loss=0.05619
[0.664s] step=64 loss=0.05073
[0.671s] step=65 loss=0.05186
[0.675s] step=66 loss=0.04956
[0.667s] step=67 loss=0.04930
[0.664s] step=68 loss=0.04950
[0.663s] step=69 loss=0.05619
[0.670s] step=70 loss=0.05109
[0.684s] step=71 loss=0.05075
[0.668s] step=72 loss=0.04623
[0.669s] step=73 loss=0.04832
[0.676s] step=74 loss=0.04204
[0.668s] step=75 loss=0.04334
[0.659s] step=76 loss=0.04378
[0.657s] step=77 loss=0.04239
[0.656s] step=78 loss=0.04244
[0.690s] step=79 loss=0.04134
[0.679s] step=80 loss=0.04514
[0.691s] step=81 loss=0.04169
[0.673s] step=82 loss=0.04066
[0.672s] step=83 loss=0.04101
[0.691s] step=84 loss=0.04046
[0.661s] step=85 loss=0.04233
[0.674s] step=86 loss=0.03786
[0.669s] step=87 loss=0.03956
[0.668s] step=88 loss=0.03419
[0.669s] step=89 loss=0.03701
[0.672s] step=90 loss=0.03797
[0.672s] step=91 loss=0.03537
[0.661s] step=92 loss=0.03267
[0.661s] step=93 loss=0.03220
[0.670s] step=94 loss=0.03691
[0.670s] step=95 loss=0.02981
[0.661s] step=96 loss=0.02938
[0.663s] step=97 loss=0.02760
[0.683s] step=98 loss=0.03252
[0.666s] step=99 loss=0.02784
saved model to ./logs/reward_model_2/step-99.pth
[0.691s] step=100 loss=0.02562
[0.699s] step=101 loss=0.02843
[0.717s] step=102 loss=0.03214
[0.684s] step=103 loss=0.02997
[0.679s] step=104 loss=0.03283
[0.676s] step=105 loss=0.02904
[0.666s] step=106 loss=0.02954
[0.676s] step=107 loss=0.03328
[0.685s] step=108 loss=0.02868
[0.657s] step=109 loss=0.02940
[0.666s] step=110 loss=0.03104
[0.668s] step=111 loss=0.02793
[0.660s] step=112 loss=0.02686
[0.662s] step=113 loss=0.03049
[0.664s] step=114 loss=0.02820
[0.672s] step=115 loss=0.03011
[0.680s] step=116 loss=0.02973
[0.655s] step=117 loss=0.02619
[0.671s] step=118 loss=0.02728
[0.674s] step=119 loss=0.02629
[0.672s] step=120 loss=0.02807
[0.669s] step=121 loss=0.02481
[0.678s] step=122 loss=0.02862
[0.664s] step=123 loss=0.02374
[0.675s] step=124 loss=0.02759
[0.675s] step=125 loss=0.02638
[0.676s] step=126 loss=0.02405
[0.677s] step=127 loss=0.02385
[0.671s] step=128 loss=0.02367
[0.679s] step=129 loss=0.02519
[0.687s] step=130 loss=0.02354
[0.666s] step=131 loss=0.02347
[0.687s] step=132 loss=0.02568
[0.677s] step=133 loss=0.02602
[0.684s] step=134 loss=0.02280
[0.664s] step=135 loss=0.02297
[0.678s] step=136 loss=0.02124
[0.670s] step=137 loss=0.02424
[0.672s] step=138 loss=0.02025
[0.673s] step=139 loss=0.02278
[0.662s] step=140 loss=0.02047
[0.674s] step=141 loss=0.02037
[0.670s] step=142 loss=0.02053
[0.695s] step=143 loss=0.02067
[0.704s] step=144 loss=0.01955
[0.710s] step=145 loss=0.01921
[0.707s] step=146 loss=0.01717
[0.683s] step=147 loss=0.01738
[0.687s] step=148 loss=0.01740
[0.671s] step=149 loss=0.01904
[0.671s] step=150 loss=0.01541
[0.675s] step=151 loss=0.01646
[0.674s] step=152 loss=0.01593
[0.666s] step=153 loss=0.01574
[0.669s] step=154 loss=0.01764
[0.665s] step=155 loss=0.01557
[0.669s] step=156 loss=0.01369
[0.660s] step=157 loss=0.01420
[0.664s] step=158 loss=0.01300
[0.676s] step=159 loss=0.01390
[0.671s] step=160 loss=0.01159
[0.666s] step=161 loss=0.01222
[0.702s] step=162 loss=0.01183
[0.678s] step=163 loss=0.01376
[0.654s] step=164 loss=0.01011
[0.670s] step=165 loss=0.01032
[0.682s] step=166 loss=0.01272
[0.668s] step=167 loss=0.01121
[0.663s] step=168 loss=0.00983
[0.674s] step=169 loss=0.01051
[0.687s] step=170 loss=0.01011
[0.679s] step=171 loss=0.01007
[0.669s] step=172 loss=0.01032
[0.674s] step=173 loss=0.00903
[0.661s] step=174 loss=0.00871
[0.696s] step=175 loss=0.00929
[0.670s] step=176 loss=0.01053
[0.660s] step=177 loss=0.00841
[0.676s] step=178 loss=0.00871
[0.668s] step=179 loss=0.00884
[0.659s] step=180 loss=0.00769
[0.665s] step=181 loss=0.00757
[0.673s] step=182 loss=0.00771
[0.674s] step=183 loss=0.00825
[0.678s] step=184 loss=0.00833
[0.671s] step=185 loss=0.00909
[0.668s] step=186 loss=0.00756
[0.669s] step=187 loss=0.00676
[0.661s] step=188 loss=0.00764
[0.673s] step=189 loss=0.00716
[0.679s] step=190 loss=0.00772
[0.678s] step=191 loss=0.00711
[0.673s] step=192 loss=0.00660
[0.659s] step=193 loss=0.00720
[0.667s] step=194 loss=0.00655
[0.669s] step=195 loss=0.00806
